Bid_Number,Contract_Number,Contract_Description,Start_Date,End_Date,Contract_Type,Vendor_Name,Department_Name,Max_Value,Total_Contract_Months,Remaining_Contract_Months,SumOfTransactionAmt
00009408,120355,TRANSAMERICAN OFFICE FURNITURE INC      Bid # 00009408,20120618,20150430,,TRANSAMERICAN OFFICE FURNITURE INC      ,SS&E,"$2,000,000.00",  ,,"$576,777.15"
00009413,130122,HUMANSCALE CORP                         Bid # 00009413,20120919,20150430,,HUMANSCALE CORP                         ,SS&E,"$450,000.00",  ,,"$26,132.50"
00009635,120356,TRANSAMERICAN OFFICE FURNITURE INC      Bid # 00009635,20120618,20150531,,TRANSAMERICAN OFFICE FURNITURE INC      ,SS&E,"$2,728,000.00",  ,,"$231,447.49"
00011350,140292,U S MUNICIPAL SUPPLY CO                 Bid # 00011350,20140505,20150531,,U S MUNICIPAL SUPPLY CO                 ,SS&E,"$1,000,000.00",18,,
00011357,140300,BANDIT INDUSTRIES INC                   Bid # 00011357,20140521,20150531,,BANDIT INDUSTRIES INC                   ,SS&E,"$200,000.00",  ,,
00011413,140301,ALTEC INDUSTRIES INC                    Bid # 00011413,20140521,20150531,,ALTEC INDUSTRIES INC                    ,SS&E,"$800,000.00",  ,,
00011420,140289,CLEVELAND BROTHERS EQUIPMENT CO         Bid # 00011420,20140422,20150422,,CLEVELAND BROTHERS EQUIPMENT CO         ,SS&E,"$400,000.00",36,,
00011426,140302,EAGLE POWER & EQUIPMENT CORP            Bid # 00011426,20140521,20150531,,EAGLE POWER & EQUIPMENT CORP            ,SS&E,"$332,000.00",  ,,
00011431,140290,GROFF TRACTOR & EQUIPMENT INC           Bid # 00011431,20140422,20150422,,GROFF TRACTOR & EQUIPMENT INC           ,SS&E,"$1,000,000.00",36,,
00011459,140291,U S MUNICIPAL SUPPLY CO                 Bid # 00011459,20140422,20150422,,U S MUNICIPAL SUPPLY CO                 ,SS&E,"$2,000,000.00",36,,
000358-1,130181,EN POINTE TECHNOLOGIES                  Bid # 000358-1,20130101,20150602,,EN POINTE TECHNOLOGIES                  ,SS&E,"$1,000,000.00",36,,"$50,459.03"
000358-2,130089,INSIGHT PUBLIC SECTOR INC               Bid # 000358-2,20120920,20150602,,INSIGHT PUBLIC SECTOR INC               ,SS&E,"$1,500,000.00",36,,"$433,277.92"
000358-3,130180,S H I INTERNATIONAL CORP                Bid # 000358-3,20130101,20150602,,S H I INTERNATIONAL CORP                ,SS&E,"$2,463,769.00",36,,"$193,237.48"
031210NJ,120152,STAPLES CONTRACT & COMMERCIAL INC       Bid # 031210NJ,20110701,20150531,,STAPLES CONTRACT & COMMERCIAL INC       ,SS&E,"$5,940,000.00",24,,"$376,125.44"
10402225,140163,GRAYBAR ELECTRIC CO INC                 Bid # 10402225,20131008,20141231,,GRAYBAR ELECTRIC CO INC                 ,SS&E,"$908,000.00",  ,,
111309CD,140193,C D W GOVERNMENT INC                    Bid # 111309CD,20131201,20141215,,C D W GOVERNMENT INC                    ,SS&E,"$500,000.00",  ,,
22113LTS,140107,PLAYPOWER LT FARMINGTON INC             Bid # 22113LTS,20130423,20150423,,PLAYPOWER LT FARMINGTON INC             ,SS&E,"$1,200,000.00",36,,
2315,134012,"Lining of the Sanitary Sewers with Resin Impregnated Liner at Various Locations. Phila, PA",20121003,,PW,ALLSTATE POWER VAC INCORPORATED,WATER,"$1,063,400.00",,,52643.28
