Bid_Number,Contract_Number,Contract_Description,Start_Date,End_Date,Contract_Type,Vendor_Name,Department_Name,Contract_Amount,Total_Contract_Months,Total_Transactions
00006044,130409,UNITED RENTALS NORTH AMERICA INCBid # 00006044,20130509,20130930,SSE,UNITED RENTALS NORTH AMERICA INC,SS&E,175000,,"$41,582.70"
T0QG8130,A00181,SINGLE POINT SOURCING LLCBid # T0QG8130,20121211,20130930,SSE,SINGLE POINT SOURCING LLC,SS&E,353766,02,"$1,887.18"
S3Z58650,130119,"WATER TREATMENT CHEMICALS, SCH. 60",20121001,20130930,SSE,TANNER INDUSTRIES INCORPORATED,SS&E,432350,,"$15,004.80"
S0Z56010,100112,REBUILD and REPLACEMENT MOTROCYCLE PARTS TIRE/TUBES - Schedule 36,20091001,20130930,SSE,HARLEY DAVIDSON OF CAMDEN COUNTY,SS&E,271205,36,"$8,806.62"
S9Z55650,090399,Plumbing Supplies,20090622,20130930,SSE,FERGUSON ENTERPRISES INC,SS&E,4980000,36,"$14,146.41"
S9YN1620,090388,"Maintenance, Repair and Upgrade to City of Phila, Office of Fleet Management, Fuel Management System",20090601,20130930,SSE,INTERNETWORK SERVICES INC,SS&E,1490000,03,"$32,367.80"
S9Z55400,090361,Vine Street Expressway Landscape Maintenance - Schedule 801-05,20090401,20130930,SSE,ALL SEASONS LANDSCAPING CO INC,SS&E,750495.96,03,"$4,938.87"
00002819,090191,DELL MARKETING L PBid # 00002819,20080922,20130930,SSE,DELL MARKETING L P,SS&E,12967100,03,"$442,609.00"
S1Z56760,A10060,RIBBONS EXPRESS INCBid # S1Z56760,20101201,20131130,SSE,RIBBONS EXPRESS INC,SS&E,175001,03,"$307,395.76"
S0Z56210,100154,Chain Saw/Pipe Repair Parts,20091201,20131130,SSE,AIRMATIC INC,SS&E,269230,36,"$1,539.82"
S0Z56160,100159,Repair of Photographic and Audio/Visual Equipment - Schedule 558,20091201,20131130,SSE,AUDIO VIDEO REPAIR INC,SS&E,2559999,36,"$1,792.00"
S0Z55900,100136,DENTAL SUPPLIES - Schedule 150-01,20090901,20131130,SSE,DENTSERVE,SS&E,360771,36,"$2,919.36"
S1Z57230,110282,"Toilet tissue, paper towels & Feminine Hygiene Prods, sch 122",20110501,20131220,SSE,OCUTURE LLC,SS&E,30001,36,"$390,128.64"
S4Z0722F,140030,Milk,20130701,20131231,SSE,QUALITY SALES & DISTRIBUTION INC,SS&E,153485.17,,"$47,001.89"
V4Z0795F,145008,Juice,20130701,20131231,SSE,KARETAS FOODS INC,SS&E,10674,00,$484.50
S0Z56290,120310,"Undergarments, Sleepwear, Athletic Apparel & Shoes - Schedule 77-01",20120401,20131231,SSE,THOMASTON CORP,SS&E,63000.01,09,$192.00
T9YL404L,110099,Rental Service of Floor Mats and Mop Heads,20100801,20131231,SSE,CLEMENS CLEANING VILLAGE INC,SS&E,350001,03,$49.35
S0WJ7620,090313,FREE LIBRARY PC LEASE,20090701,20131231,SSE,POMEROY IT SOLUTIONS SALES CO INC,SS&E,1720540,03,"$40,127.45"
S1Z56660,110223,Automotive Collision Services,20110201,20140131,SSE,AMERICAN COLLISION & AUTOMOTIVE CENTER I,SS&E,1471670,36,"$19,249.86"
S0Z56390,100191,"Mechanical Repair Parts for ""In House"" Use - Schedule 2009-01",20100201,20140131,SSE,GENERAL ASPHALT PAVING CO OF PHILA,SS&E,4500000,36,"$128,703.17"
S0Z56410,100197,Mechanical Repair Services - Schedule 2009,20100201,20140131,SSE,GENERAL ASPHALT PAVING CO OF PHILA,SS&E,5900000,36,"$229,954.64"
S0Z5638S,100210,ABB Instrumentation Parts (Formerly Fischer & Porter),20100201,20140131,SSE,APPLIED ANALYTICS INC,SS&E,925000,36,"$22,956.48"
T0Z56420,100211,BOTTLED WATER - Schedule 155,20100201,20140131,SSE,NESTLE WATERS NORTH AMERICA INC,SS&E,535001,36,"$1,726.27"
S0XP9620,100259,Rental of Pothole Patchers w/On-Board Global Positioning System,20100201,20140131,SSE,PATCH MANAGEMENT INC,SS&E,818500,36,"$4,688.84"
T0Z56370,100265,Small Equipment Repair Service,20100201,20140131,SSE,INTERLINE BRANDS INC,SS&E,4228080.2,36,"$46,258.41"
S0Z56560,100288,Small Equipment Purchase,20100201,20140131,SSE,ACCOMMODATION MOLLEN INC,SS&E,90000.01,36,"$1,053.00"
S0YC4620,100280,Traffic Signal Equipment,20091101,20140131,SSE,GENERAL HIGHWAY PROD INC,SS&E,4799462,36,"$64,115.40"
00004940,090425,UNITED PARCEL SERVICEBid # 00004940,20090701,20140207,SSE,UNITED PARCEL SERVICE,SS&E,1040000,,"$28,069.19"
S4Z60130,140081,Lumber,20130901,20140228,SSE,AMERICAN FOREST PRODUCTS,SS&E,85711.78,,"$17,416.00"
S0Z56400,A00248,XYLEM WATER SOLUTIONS USA INCBid # S0Z56400,20100301,20140228,SSE,XYLEM WATER SOLUTIONS USA INC,SS&E,150000.01,36,"$104,764.97"
S0Z56260,100152,"Contemporary Office Furniture, Steel;",20091201,20140228,SSE,TRANSAMERICAN OFFICE FURNITURE INC,SS&E,460000,03,"$15,893.94"
S9YL405S,090276,Technical Service & Repair to the Infax System 9  & Hardware & Software for MUFIDS Interface,20090301,20140228,SSE,INFAX INC,SS&E,780520.5,36,"$99,578.13"
S4DS463C,140253,MOTOROLA SOLUTIONS INC Bid# S4DS463C,20140325,20140324,SSE,MOTOROLA SOLUTIONS INC,MDO-OFFICE OF TECHNOLOGY,"$137,700.00",,137700
S3Z59070,A30357,Asphalt Products,20130401,20140331,SSE,RIVERSIDE MATERIALS INC,SS&E,30001,,"$33,987.57"
S0Z56440,100255,"Receptacles, Trash Cans, Wringer Mops, Buckets, Etc.",20100401,20140331,SSE,ACCOMMODATION MOLLEN INC,SS&E,400001,36,"$14,438.51"
S0Z56470,100268,"Forms, Printed, Index",20100401,20140331,SSE,VANGUARD DIRECT,SS&E,305001,36,"$8,552.30"
S0Z56350,100295,HVAC Refrigeration Repair Parts,20100401,20140331,SSE,UNITED REFRIGERATION INC,SS&E,1541400,33,"$60,351.71"
S0Z56310,100206,Emergency HVAC Repair Services:  Schedulel 439-03,20100101,20140331,SSE,GENERAL ASPHALT PAVING CO OF PHILA,SS&E,8930338,36,"$175,959.62"
S0YB0170,100244,"Reagents, Consumables and Hematology Analyzer",20100101,20140331,SSE,BECKMAN COULTER INC,SS&E,364448.57,36,"$19,862.13"
S9XO6980,100172,"FUJI INSTAX 200 INSTANT CAMERA, FUJI INSTAX FILM",20090901,20140331,SSE,LAUBE IMAGING PRODUCTS INC,SS&E,200999,03,"$8,460.00"
S2Z58390,120249,Ammunition Sch 109,20120201,20140430,SSE,WITMER PUBLIC SAFETY GROUP INC,SS&E,2320000,12,"$74,757.04"
T0Z56480,100275,"Yale Locks, Closures and Related Items;",20100501,20140430,SSE,INDEPENDENT HARDWARE INC,SS&E,133000,36,$305.91
S3Z59570,130405,Bituminous Material,20130601,20140531,SSE,RIVERSIDE MATERIALS INC,SS&E,195500,,"$99,478.78"
S2YQ8360,120328,System Maint for Harris (Formerly Erickson) EDACS Radio System and User Equip,20120601,20140531,SSE,TACTICAL PUBLIC SAFETY LLC,SS&E,60001,36,
