Bid_Number,Contract_Number,Contract_Description,Start_Date,End_Date,Contract_Type,Vendor_Name,Department_Name,Contract_Amount,Total_Contract_Months,Remaining_Contract_Months,Total_Transactions
00002819,090191,DELL MARKETING L PBid # 00002819,20080922,20130930,SSE,DELL MARKETING L P,SS&E,12967100,03,00,"$7,352.00"
S1Z56760,A10060,RIBBONS EXPRESS INCBid # S1Z56760,20101201,20131130,SSE,RIBBONS EXPRESS INC,SS&E,175001,03,03,$240.04
S1Z57230,110282,"Toilet tissue, paper towels & Feminine Hygiene Prods, sch 122",20110501,20131220,SSE,OCUTURE LLC,SS&E,30001,36,12,"$592,080.06"
S0Z56290,120310,"Undergarments, Sleepwear, Athletic Apparel & Shoes - Schedule 77-01",20120401,20131231,SSE,THOMASTON CORP,SS&E,63000.01,09,00,$441.53
S0Z5638S,100210,ABB Instrumentation Parts (Formerly Fischer & Porter),20100201,20140131,SSE,APPLIED ANALYTICS INC,SS&E,925000,36,00,"$2,237.64"
T0Z56370,100265,Small Equipment Repair Service,20100201,20140131,SSE,INTERLINE BRANDS INC,SS&E,4228080.2,36,00,$175.85
00004940,090425,UNITED PARCEL SERVICEBid # 00004940,20090701,20140207,SSE,UNITED PARCEL SERVICE,SS&E,1040000,,,$80.84
S0Z56260,100152,"Contemporary Office Furniture, Steel;",20091201,20140228,SSE,TRANSAMERICAN OFFICE FURNITURE INC,SS&E,460000,03,03,"$1,863.41"
S3Z59070,A30357,Asphalt Products,20130401,20140331,SSE,RIVERSIDE MATERIALS INC,SS&E,30001,,,"$76,280.96"
S0Z56440,100255,"Receptacles, Trash Cans, Wringer Mops, Buckets, Etc.",20100401,20140331,SSE,ACCOMMODATION MOLLEN INC,SS&E,400001,36,00,"$6,695.64"
S0VW475S,A00267,TELEDYNE INSTRUMENTS INCBid # S0VW475S,20100401,20140331,SSE,TELEDYNE INSTRUMENTS INC,SS&E,70001,36,00,"$2,406.33"
S0Z56350,100295,HVAC Refrigeration Repair Parts,20100401,20140331,SSE,UNITED REFRIGERATION INC,SS&E,1541400,33,00,$327.18
S0Z56310,100206,Emergency HVAC Repair Services:  Schedulel 439-03,20100101,20140331,SSE,GENERAL ASPHALT PAVING CO OF PHILA,SS&E,8930338,36,03,"$270,480.14"
S2Z58390,120249,Ammunition Sch 109,20120201,20140430,SSE,WITMER PUBLIC SAFETY GROUP INC,SS&E,2320000,12,01,"$119,632.28"
S1WZ0350,110329,Rodney Hunt Parts,20110601,20140531,SSE,AIRMATIC INC,SS&E,362000,24,00,"$14,034.00"
00003320,090339,INTERNATIONAL BUSINESS MACHINES CORPBid # 00003320,20090319,20140531,SSE,INTERNATIONAL BUSINESS MACHINES CORP,SS&E,450000,36,00,"$200,000.00"
E-ORDER,140286,AMERICAN SCIENCE & ENGINEERING INC. Bid#,20140603,20140603,PW,AMERICAN SCIENCE & ENGINEERING INC.,POLICE,"$55,304.00",,,53992.51
S4Z0122F,140184,MILK,20140101,20140630,SSE,QUALITY SALES & DISTRIBUTION INC,SS&E,145000,00,00,"$2,567.55"
S1YB475S,110105,Service/Maintenance/Supplies for the Bactec MGIT 960,20100801,20140630,SSE,BECTON DICKINSON & CO,SS&E,290001,36,00,$869.04
S0Z55980,100173,New And Recycled Toner Cartridges,20090901,20140630,SSE,LASER JET DIRECT,SS&E,3666607.37,03,00,"$15,291.40"
00003909,090293,DELL MARKETING L PBid # 00003909,20090121,20140630,SSE,DELL MARKETING L P,SS&E,11426733,36,00,"$390,723.35"
S1YD481S,110024,"Testing, Inspection, Repair of Siemen's Fire Alarm Systems",20100801,20140731,SSE,SIEMENS INDUSTRY INC,SS&E,600161,36,00,"$99,398.56"
T0Z56490,110035,Best Locking Systems Maint/Repair  Sch 909-01,20100801,20140731,SSE,STANLEY SECURITY SOLUTIONS INC,SS&E,900825,36,00,"$42,723.69"
S5QM298C,150039,PORTER LEE CORP Bid# S5QM298C,20140815,20140815,SSE,PORTER LEE CORP,MDO-OFFICE OF TECHNOLOGY,"$34,594.00",,,34594
S4Z60440,140256,Lumber,20140301,20140831,SSE,TAGUE LUMBER INC,SS&E,246661.7,03,03,"$12,982.98"
00001183,140176,HERTRICH FLEET SERVICES INCBid # 00001183,20131001,20140831,SSE,HERTRICH FLEET SERVICES INC,SS&E,1600000,,,"$157,593.40"
S1QG8260,B10122,BELL & HOWELL LLCBid # S1QG8260,20111127,20140831,SSE,BELL & HOWELL LLC,SS&E,557323,36,00,"$314,136.00"
S1Z56620,110017,Disposal of Construction Debris/Waste,20100901,20140831,SSE,RICHARD S BURNS & CO INC,SS&E,2290500,36,00,"$66,270.00"
T1Z56610,110111,Lockers,20100901,20140831,SSE,RABCO EQUIPMENT CORP,SS&E,202980,36,00,"$7,872.00"
S5PD001C,150051,GREEN BAY LEAD INC Bid# S5PD001C,20140930,20140909,SSE,GREEN BAY LEAD INC,POLICE,"$52,736.00",,,52736
S0Z56240,H00179,DECISIVE BUSINESS SYSTEMS ACQUISITION LLBid # S0Z56240,20131218,20140930,SSE,DECISIVE BUSINESS SYSTEMS ACQUISITION LL,SS&E,1349000,36,00,"$76,670.74"
S1QM222S,A10039,LIFE TECHNOLOGIES CORPBid # S1QM222S,20110406,20140930,SSE,LIFE TECHNOLOGIES CORP,SS&E,650001,30,00,"$17,802.81"
S1Z5654S,110092,800 MHZ Radio System Maintenance Services,20100701,20140930,SSE,MOTOROLA SOLUTIONS INC,SS&E,15440648.62,36,00,"$1,536,900.78"
T1YN1670,B10070,BAKER AERIAL LLCBid # T1YN1670,20100701,20140930,SSE,BAKER AERIAL LLC,SS&E,995035,36,00,"$51,373.64"
S1Z56740,110081,Maintenance of Data Processing Equipment (Mainframe Channel Attached) - Hewlett Packard,20100701,20140930,SSE,MASON DEVELOPMENT CORP,SS&E,160000.01,36,00,"$1,743.00"
U0Z56240,100269,Office Automation,20100101,20140930,SSE,P C SPECIALISTS INC,SS&E,5100000,30,00,"$222,593.00"
S5DS468C,150069,PEOPLEADMIN INC Bid# S5DS468C,20141031,20141001,SSE,PEOPLEADMIN INC,MDO-OFFICE OF TECHNOLOGY,"$82,193.76",,,82193.76
S5YN332C,150040,XEROX CORPORATION Bid# S5YN332C,20141002,20141002,SSE,XEROX CORPORATION,MDO-OFFICE OF TECHNOLOGY,"$91,160.00",,,91160
S4Z59790,C40067,P P C LUBRICANTSBid # S4Z59790,20141001,20141031,SSE,P P C LUBRICANTS,SS&E,32000.01,02,02,"$244,317.02"
S4Z60270,140222,Pump Repair Parts,20140301,20141031,SSE,AIRMATIC INC,SS&E,429460,36,36,"$54,435.38"
S1YC4690,A10168,ECONOLITE CONTROL PRODUCTS INCBid # S1YC4690,20140226,20141031,SSE,ECONOLITE CONTROL PRODUCTS INC,SS&E,200000,36,00,"$220,790.00"
S4Z60090,140022,Chain/Pipe Saw Sharpening Repairs,20131201,20141031,SSE,AIRMATIC INC,SS&E,30000.01,36,36,"$3,013.26"
00015283,140140,INTERNATIONAL SALT COMPANY LLCBid # 00015283,20130801,20141031,SSE,INTERNATIONAL SALT COMPANY LLC,SS&E,2335325,12,12,
S3Z59480,130375,Pneumatic Tools Repair Parts,20130401,20141031,SSE,AIRMATIC INC,SS&E,120919,35,23,
PR11-12,130307,LANDSCAPE STRUCTURES INCBid # PR11-12,20130130,20141031,SSE,LANDSCAPE STRUCTURES INC,SS&E,530000,00,00,
S3Z59260,130216,Hydrogritter Parts,20130101,20141031,SSE,AIRMATIC INC,SS&E,66400.5,36,24,
S2YN1910,120141,,20111001,20141031,SSE,W CAMPBELL SUPPLY CO OF PENNA LLC,SS&E,51430,24,02,
