Bid_Number,Contract_Number,Contract_Description,Start_Date,End_Date,Contract_Type,Vendor_Name,Department_Name,Max_Value,Total_Contract_Months,Remaining_Contract_Months,SumOfTransactionAmt
00009408,120355,TRANSAMERICAN OFFICE FURNITURE INC      Bid # 00009408,20120618,20150430,,TRANSAMERICAN OFFICE FURNITURE INC      ,SS&E,"$2,000,000.00",  ,,"$301,851.50"
00009413,130122,HUMANSCALE CORP                         Bid # 00009413,20120919,20150430,,HUMANSCALE CORP                         ,SS&E,"$450,000.00",  ,,
00009635,120356,TRANSAMERICAN OFFICE FURNITURE INC      Bid # 00009635,20120618,20150531,,TRANSAMERICAN OFFICE FURNITURE INC      ,SS&E,"$2,728,000.00",  ,,"$516,727.86"
00011350,140292,U S MUNICIPAL SUPPLY CO                 Bid # 00011350,20140505,20150531,,U S MUNICIPAL SUPPLY CO                 ,SS&E,"$1,000,000.00",18,,
00011357,140300,BANDIT INDUSTRIES INC                   Bid # 00011357,20140521,20150531,,BANDIT INDUSTRIES INC                   ,SS&E,"$200,000.00",  ,,
00011413,140301,ALTEC INDUSTRIES INC                    Bid # 00011413,20140521,20150531,,ALTEC INDUSTRIES INC                    ,SS&E,"$800,000.00",  ,,
00011420,140289,CLEVELAND BROTHERS EQUIPMENT CO         Bid # 00011420,20140422,20150422,,CLEVELAND BROTHERS EQUIPMENT CO         ,SS&E,"$400,000.00",36,,
00011426,140302,EAGLE POWER & EQUIPMENT CORP            Bid # 00011426,20140521,20150531,,EAGLE POWER & EQUIPMENT CORP            ,SS&E,"$332,000.00",  ,,
00011431,140290,GROFF TRACTOR & EQUIPMENT INC           Bid # 00011431,20140422,20150422,,GROFF TRACTOR & EQUIPMENT INC           ,SS&E,"$1,000,000.00",36,,
00011459,140291,U S MUNICIPAL SUPPLY CO                 Bid # 00011459,20140422,20150422,,U S MUNICIPAL SUPPLY CO                 ,SS&E,"$2,000,000.00",36,,
000358-1,130181,EN POINTE TECHNOLOGIES                  Bid # 000358-1,20130101,20150602,,EN POINTE TECHNOLOGIES                  ,SS&E,"$1,000,000.00",36,,"$320,876.92"
000358-2,130089,INSIGHT PUBLIC SECTOR INC               Bid # 000358-2,20120920,20150602,,INSIGHT PUBLIC SECTOR INC               ,SS&E,"$1,500,000.00",36,,"$98,956.30"
000358-3,130180,S H I INTERNATIONAL CORP                Bid # 000358-3,20130101,20150602,,S H I INTERNATIONAL CORP                ,SS&E,"$2,463,769.00",36,,$261.82
031210NJ,120152,STAPLES CONTRACT & COMMERCIAL INC       Bid # 031210NJ,20110701,20150531,,STAPLES CONTRACT & COMMERCIAL INC       ,SS&E,"$5,940,000.00",24,,"$292,518.35"
10402225,140163,GRAYBAR ELECTRIC CO INC                 Bid # 10402225,20131008,20141231,,GRAYBAR ELECTRIC CO INC                 ,SS&E,"$908,000.00",  ,,
111309CD,140193,C D W GOVERNMENT INC                    Bid # 111309CD,20131201,20141215,,C D W GOVERNMENT INC                    ,SS&E,"$500,000.00",  ,,
2004,134068,"Concrete Repairs of Intake Structure & Chemical Blding @ Baxter WTP, 9001 State Rd., Phila PA",20130215,,PW,C & T ASSOCIATES INCORPORATED,WATER,"$5,227,100.00",,,979944.3
2006,134069,"Replace of Tide Gate in Effluent Diversion Control Conduit at Southwest Water Pollution Control Plant, 8200 Enterprise Ave., Phila PA",20130226,,PW,G M H ASSOCIATES OF AMERICA INC,WATER,"$88,660.00",,,73876.03
2014,134128,"Rehab Raw Water Basin Dividing Dike and Pier 264 North @ Baxter Water Treatment Plant, Phila PA",20130726,,PW,A P CONSTRUCTION COMPANY,WATER,"$4,536,700.00",,,366223.5
22113LTS,140107,PLAYPOWER LT FARMINGTON INC             Bid # 22113LTS,20130423,20150423,,PLAYPOWER LT FARMINGTON INC             ,SS&E,"$1,200,000.00",36,,
2310,134007,"Reconstruction of Sewer & Relay of Water Mains at Various Locations. Phila, PA",20120914,,PW,CARUSONE CONSTRUCTION INC,WATER,"$1,979,520.00",,,440385.43
2314ELB,A14062,INSITUFORM TECHNOLOGIES INC Bid# 2314ELB,20130918,,PW,INSITUFORM TECHNOLOGIES INC,WATER,"$57,500.00",,,57500
2315,134012,"Lining of the Sanitary Sewers with Resin Impregnated Liner at Various Locations. Phila, PA",20121003,,PW,ALLSTATE POWER VAC INCORPORATED,WATER,"$1,063,400.00",,,305772.3
2339,A14128,CARUSONE CONSTRUCTION INC Bid# 2339,20130716,,PW,CARUSONE CONSTRUCTION INC,WATER,"$120,600.00",,,120514.84
2340,134081,NELLO CONSTRUCTION COMPANY INCORPORATED Bid# 2340,20130419,,PW,NELLO CONSTRUCTION COMPANY INCORPORATED,WATER,"$1,588,830.00",,,432631.68
2342,134079,J P C GROUP INC Bid# 2342,20130401,,PW,J P C GROUP INC,WATER,"$1,057,350.00",,,256573.17
2349,124102,"Reconstruct of Sewers and Relay of Water Mains at Various Locations Phila, PA",20120323,,PW,CARUSONE CONSTRUCTION INC,WATER,"$1,967,300.00",,,76566.4
2351,124137,"Reconstruction of Sewer/Relay Water Main in Greene St and Tulpehocken St, Phila PA",20120808,,PW,MINISCALCO CONSTRUCTION LLC,WATER,"$1,582,600.00",,,274416.48
2352,114111,"Reconstruct Sewers & Relay Water Mains in Hansberry St, Keyser Street Seymour Street and Zeralda Street, Phila PA",20110726,,PW,CARUSONE CONSTRUCTION INC,WATER,"$2,918,400.00",,,336321.48
2367,134102,"Relay of Water Mains at Various Locations, Phila PA",20130625,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$1,048,590.00",,,842941.91
2370,134006,Relay of Water Mains in 22nd St from W. Erie to W. Tioga St and other Locations. Phila PA,20120914,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$1,232,800.00",,,103964.8
2372,124138,"Reconst of Sewer & Relay of Water Mains In Various City Streets, Phila PA",20120723,,PW,NELLO CONSTRUCTION COMPANY INCORPORATED,WATER,"$3,027,300.00",,,339143.24
2375,134045,"Relay of Water Mains in Morris Park Rd, Edgemore Rd, Simpson St, Malvern Ave, 68th Str, & Lebanon Ave, Phila. PA",20121206,,PW,NELLO CONSTRUCTION COMPANY INCORPORATED,WATER,"$1,556,120.00",,,355362.83
2379,134098,"Reconst. of Sewers & Relay of Water Mains at Various Locations, Phila PA",20130626,,PW,CARUSONE CONSTRUCTION INC,WATER,"$2,614,500.00",,,303133.33
2380,134078,NELLO CONSTRUCTION COMPANY INCORPORATED Bid# 2380,20130419,,PW,NELLO CONSTRUCTION COMPANY INCORPORATED,WATER,"$1,347,800.00",,,760939.29
2382,124056,"Reconstruct of Sewers & Relay of Water Mains in Wharton, Dover and Pierce Sts, Phila, PA",20111222,,PW,CARUSONE CONSTRUCTION INC,WATER,"$2,459,000.00",,,179797.76
2383,124146,"Green Infrastructure Project in 4th St, Cambridge, Fairmount Ave & 3rd St, (Federally Funded)",20120807,,PW,BRIGHTLINE CONSTRUCTION INC,WATER,"$448,700.00",,,55190.22
2392,134043,"Reconstruct Sewer, Relay Water Main, & Sewer Linings in Various City Sts, Phila PA",20130111,,PW,CARUSONE CONSTRUCTION INC,WATER,"$2,911,890.00",,,396920.62
2394,134076,PETRONGOLO CONTRACTORS INCORPORATED Bid# 2394,20130419,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$2,006,640.00",,,144995.73
2500,124145,"Green Infrastructure Project in Chew Playground & Columbus Square, Phila PA (Federally Funded)",20120723,,PW,A P CONSTRUCTION COMPANY,WATER,"$965,800.00",,,72134.5
2501,144038,"Relay of Water Mains at Various Locations, Phila PA",20131015,,PW,"PHILIP PIO CONSTRUCTION, INC.",WATER,"$1,365,000.00",,,682028.21
2516,124147,"Green Infrastructure Projects in 10th St, Poplar St, Diamond St., Fourth St, Dakota Street, Jefferson St, Hutchinson St, and Master St., Phila PA (Federally Funded)",20120723,,PW,A P CONSTRUCTION COMPANY,WATER,"$899,800.00",,,279161.06
2520,124166,"Green Infrastructure Projects at Various Locations, Phila PA (Federally Funded)",20120807,,PW,SERAVALLI INCORPORATED,WATER,"$521,400.00",,,2490
2526,124161,"Green Infrastructure Projects at Various Locations, Phila PA (Federally Funded)",20120801,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$1,577,800.00",,,70792.65
2528,134004,Reconstruction of Sewer & Relay of Water Mains at Various Locations. Phila PA,20120914,,PW,MINISCALCO CONSTRUCTION LLC,WATER,"$1,748,570.00",,,126303.46
2529,134036,"Construction of Green Infrastructure in Various City Locations, Phila. PA  (Federally Funded)",20121109,,PW,A P CONSTRUCTION COMPANY,WATER,"$1,627,500.00",,,197125
2530,134035,"Green Infrastruct Projects at Various Locations, Phila PA (Fed Funded)",20121109,,PW,DONATO SPAVENTA & SONS INCORPORATED,WATER,"$978,020.00",,,179143.14
2531,134034,"Construction of Green Infrastructure in Various City Locations, Phila. PA  (Federally Funded)",20121109,,PW,A P CONSTRUCTION COMPANY,WATER,"$1,272,600.00",,,260347.5
2532,A34003,SERAVALLI INCORPORATED Bid# 2532,20130827,,PW,SERAVALLI INCORPORATED,WATER,"$775,000.00",,,691864.35
2533,134047,"Reconstruct of Sewers & Relay Water Main in Glen St, Reconstruct Sewers in Sussex Ln, Chesterfield St, and Wessex Lane, Phila PA",20121130,,PW,MINISCALCO CONSTRUCTION LLC,WATER,"$1,061,200.00",,,260641.93
2536,134031,"Green Infrastruct Projects at Various Locations, Phila PA (Fed Funded)",20121109,,PW,MINISCALCO CONSTRUCTION LLC,WATER,"$1,059,450.00",,,178155.47
2537,134044,"Reconstruct Sewer & Relay Water Main in Rittenhouse Street, Phila PA",20121207,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$2,583,000.00",,,1453842.96
2541,134077,SERAVALLI INCORPORATED Bid# 2541,20130314,,PW,SERAVALLI INCORPORATED,WATER,"$1,665,170.00",,,81674.28
2543,134032,"Construction of Green Infrastructure in Various City Locations, Phila. PA  (Federally Funded)",20121114,,PW,A P CONSTRUCTION COMPANY,WATER,"$1,875,300.00",,,459562.5
2544,134060,"Construct Green Infrastructure In Various City Sts, Phila PA (Fed Funded)",20130118,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$693,670.00",,,74656.03
2545,134134,Reconstruction of Sewer/Relay of Water Main and/or Trenchless Sewer Rehabilitation Lining of Sewer at Various Locations. Phila. PA,20130807,,PW,"PHILIP PIO CONSTRUCTION, INC.",WATER,"$1,844,840.00",,,571929.91
2546,134062,"Construct of Green Infrastructure at Various Locations, Phila PA (Fed Funded)",20130122,,PW,CARUSONE CONSTRUCTION INC,WATER,"$1,184,930.00",,,749085.31
2549,134061,"Construct of Green Infrastructure at Various Locations, Phila PA (Fed Funded)",20130129,,PW,RAMOS AND ASSOCIATES INCORPORATED,WATER,"$638,960.00",,,178340.19
2571,134129,"Relay of Water Mains in Clapier St from Wissahickon Ave to Morris, Morris from Seymour St to Abbottsford Ave. Phila, PA",20130819,,PW,SERAVALLI INCORPORATED,WATER,"$1,377,600.00",,,420013.61
2572,134080,SERAVALLI INCORPORATED Bid# 2572,20130314,,PW,SERAVALLI INCORPORATED,WATER,"$2,046,770.00",,,521850.92
2573,134099,"Reconst. of Sewers & Relay of Water Mains at Various Locations, Phila PA",20130606,,PW,J P C GROUP INC,WATER,"$467,380.00",,,363653.47
2578,134111,"Green Infrastruct. Projects @ Nebinger School, Phila PA (Fed Funded)",20130717,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$308,000.00",,,147214.52
2579ELB,134090,CARUSONE CONSTRUCTION INC Bid# 2579ELB,20130424,,PW,CARUSONE CONSTRUCTION INC,WATER,"$1,780,460.00",,,689625.14
2812,124129,"Replace Sludge Pump Grinder & Sump Pump@Southeast Water Pollution Control Plant Phila, PA",20120611,,PW,C & T ASSOCIATES INCORPORATED,WATER,"$874,720.00",,,93558
2814,134011,"Rehab of Receiving Terminal at Biosolids Recycling Ctr., 7800 Penrose Ferry Rd. Phila, PA",20120914,,PW,QUAD CONSTRUCTION CO,WATER,"$1,105,400.00",,,1342894.05
2827,134075,"New Retaining Wall at North End of Cahill Field at 29th & Clearfield. Phila, PA",20130214,,PW,J P C GROUP INC,WATER,"$133,100.00",,,121000
2840,134037,"Improvements to Belmont Raw Water Basin at Belmont WTP, Belmont Ave & Ford Rd, Philadelphia, PA",20121123,,PW,J P C GROUP INC,WATER,"$19,476,000.00",,,520743.06
2856,134071,HORIZON BROTHERS PAINTING CORP Bid# 2856,20130306,,PW,HORIZON BROTHERS PAINTING CORP,WATER,"$2,920,000.00",,,1629537.72
2865,124134,Electrical System Replacement & New Generator at Belmont Water Treatment Plant. Phila PA,20120627,,PW,PHILIPS BROTHERS ELECTRICAL CONTRACTORS,WATER,"$5,544,500.00",,,840848.8
2873,124127,"Installation of Isolation Valves and Replacement of the Backwash Valves @ Baxter Water Treat Plant, State Road, Phila PA",20120611,,PW,C & T ASSOCIATES INCORPORATED,WATER,"$3,136,000.00",,,519099.34
2874,114139,"Manayunk Sewer Basin Construction & Venice Island Recreation Center Reconstruction Projects, Phila PA",20110722,,PW,DANIEL J KEATING COMPANY,WATER,"$39,970,400.00",,,2185462.65
2875,114140,"Electrical- Manayunk Sewer Basin Construct & Venice Island Rec Ctr Reconstruct Project Phila, PA",20110826,,PW,RIGGS DISTLER & CO INC,WATER,"$4,514,000.00",,,67167.66
2876,114137,"Plumbing- Manayunk Sewer Basin Construct & Venice Island Rec Ctr Reconstruct Project Phila, PA",20110727,,PW,FIVE STAR INC,WATER,"$304,700.00",,,6693.96
2877,114138,"HVAC- Manayunk Sewer Basin Construction & Venice Island Rec Ctr Reconst Project Phila, PA",20110727,,PW,FIVE STAR INC,WATER,"$2,095,800.00",,,306261
2882,124063,"Replacement of 480V Switchgear and 208V Unit Substation in Preliminary Treatment Building at SWWPCP, Phila, PA",20120106,,PW,PHILIPS BROTHERS ELECTRICAL CONTRACTORS,WATER,"$1,102,290.00",,,57060.51
2894,134009,"Replacement of Influent Bar Racks at SEWPCP, 25 Pattison Ave. Phila, PA",20121107,,PW,C & H INDUSTRIAL SERVICES INC,WATER,"$2,095,800.00",,,628440.6
2898,134073,TORRADO CONSTRUCTION CO INC Bid# 2898,20130322,,PW,TORRADO CONSTRUCTION CO INC,WATER,"$177,650.00",,,7075
3664ECMS,D04021,TONY DEPAUL AND SON Bid# 3664ECMS,20130926,,PW,TONY DEPAUL AND SON,STREETS,"$262,500.00",,,246521.22
3676ECMS,124130,"Restore, Resurface and Reconstruction of Cresheim Valley Drive. (Cresheim Road to Germantown Ave)  Phila PA (Federally Funded)",20120629,,PW,TONY DEPAUL AND SON,STREETS,"$285,000.00",,,50012.81
3697ECMS,124029,Passyunk Project. 63rd Street to PA 611 Design Acitivites Limited to: ADA Ramps.   Federally Funded.,20120125,,PW,RAMOS AND ASSOCIATES INCORPORATED,STREETS,"$6,418,390.25",,,302641.77
3707RECM,124005,East Falls Streetscape: Midvale Ave @ East River Rd.,20110930,,PW,RAMOS AND ASSOCIATES INCORPORATED,COMMERCE,"$876,797.00",,,5500
3711,A24081,DONATO SPAVENTA & SONS INCORPORATED Bid# 3711,20130306,,PW,DONATO SPAVENTA & SONS INCORPORATED,STREETS,"$35,790.96",,,7245.51
3714RECM,124085,"Germantown Ave Streetscapes, Design activities limited to: ADA Ramps, Phila PA",20120202,,PW,L C COSTA CONTRACTORS,COMMERCE,"$2,403,187.09",,,98630.25
3716ECMS,B14122,SERAVALLI INCORPORATED Bid# 3716ECMS,20130820,,PW,SERAVALLI INCORPORATED,STREETS,"$46,267.00",,,5250
3719ECMS,124084,"Shawmnt Av MontgoLnTIGER(Phila. Bid #3719ECMS)Design actv. limited to:Retaining Walls, Rec Path TCP",20120217,,PW,TONY DEPAUL AND SON,STREETS,"$1,466,806.10",,,49586.12
3722ECMS,124087,"Tidal Schuylkill Greenway Phila, PA",20120508,,PW,"CROSSING CONSTRUCTION COMPANY, INC.",COMMERCE,"$16,878,040.30",,,3402588.7
3723ECMS,A24086,J P C GROUP INC Bid# 3723ECMS,20120808,,PW,J P C GROUP INC,STREETS,"$21,700.00",,,30962.06
3724ECMS,114144,"58th Street greenway, Decorative Lights, ADA Ramps. Bidder are required to Follow instruction on PADOT website (www.dot14.state.pa.us/ECMS) In lieu of Pre-bid Mtg submit Quest to PADOTwebsite   Est $1",20111025,,PW,PETRONGOLO CONTRACTORS INCORPORATED,WATER,"$218,321.00",,,532378.44
3725ECMS,134002,Delaware Ave Greenway (Tiger 9) ADA Ramps (Federally Funded),20121017,,PW,SCOTT BUILDING CORP,STREETS,"$2,618,598.25",,,332230.71
3734ECMS,D24004,SERAVALLI INCORPORATED Bid# 3734ECMS,20130904,,PW,SERAVALLI INCORPORATED,STREETS,"$16,947.62",,,16947.62
3736,124131,"Signal Synchronization/Modernization, Phila PA,",20120720,,PW,CARR & DUFF INCORPORATED,STREETS,"$225,000.00",,,349698.74
3742ECMS,134056,ARMOUR & SONS ELECTRIC INC Bid# 3742ECMS,20130319,,PW,ARMOUR & SONS ELECTRIC INC,STREETS,"$4,174,085.30",,,1071561.07
3745,A34064,ZONE STRIPING INC Bid# 3745,20130904,,PW,ZONE STRIPING INC,STREETS,"$750,000.00",,,605853.23
3746,134095,"Reconstruction of the Retaining Wall Along Tower St., Phila. PA",20130606,,PW,ANTHONY BIDDLE CONTRACTORS INC,STREETS,"$231,000.00",,,129933.86
3747ECMS,134089,"Stenton & Godfrey Ave Signals, ECMS (Fed Funded)",20130604,,PW,CARUSONE CONSTRUCTION INC,WATER,"$6,896,000.00",,,2162752.74
3750,134126,Milling of Existing Bituminous Paving (CityWide),20130717,,PW,TONY DEPAUL AND SON,STREETS,"$2,470,950.00",,,3810658.88
3751,134112,"Reconst of Retaining Wall Along Cresson Street, Phila PA (Partial Certification)",20130717,,PW,BUCKLEY & COMPANY INCORPORATED,STREETS,"$323,977.00",,,1191269.08
3752,144017,"Area 6 Paving Improvements, Phila PA",20130919,,PW,GESSLER CONSTRUCTION COMPANY,STREETS,"$377,000.00",,,300675
3753,144027,Furnish/Place Tack Coat @ various Phila City Locations. (CityWide),20130930,,PW,JAMES J ANDERSON CONSTRUCTION CO INC,STREETS,"$300,000.00",,,96830.23
3760ECMS,134136,"Bustleton Avenue North Signals, Phila P A (Federal Funded)",20131003,,PW,SERAVALLI INCORPORATED,STREETS,"$6,441,256.00",,,479901.59
4021ELEC,M94066,MULHERN ELECTRIC COMPANY Bid# 4021ELEC,20120503,,PW,MULHERN ELECTRIC COMPANY,POLICE,"$22,825.83",,,6968.14
4025GCON,134054,"PANNULLA CONSTRUCTION CO., INC. Bid# 4025GCON",20130314,,PW,"PANNULLA CONSTRUCTION CO., INC.",RECREATION,"$271,977.00",,,54896.51
4025MECH,134053,FIVE STAR INC Bid# 4025MECH,20130306,,PW,FIVE STAR INC,RECREATION,"$103,940.00",,,35996.25
4046GCON,A04065,GESSLER CONSTRUCTION COMPANY Bid# 4046GCON,20120503,,PW,GESSLER CONSTRUCTION COMPANY,RECREATION,"$22,774.00",,,14510
4064GCON,C34082,"PANNULLA CONSTRUCTION CO., INC. Bid# 4064GCON",20130529,,PW,"PANNULLA CONSTRUCTION CO., INC.",RECREATION,"$78,018.68",,,340283.71
4080ELEC,C24018,MULHERN ELECTRIC COMPANY Bid# 4080ELEC,20121113,,PW,MULHERN ELECTRIC COMPANY,FIRE,"$2,984.85",,,305649.99
4081ELEC,A14089,JACK COHEN & COMPANY INCORPORATED Bid# 4081ELEC,20120501,,PW,JACK COHEN & COMPANY INCORPORATED,FIRE,"$3,638.03",,,12863.21
4083MECH,124019,Replace Mech & Elec Equipment & Install New Emergency Lighting & Fire Alarm System @ Various City Fire Stations (Partial Certification),20110922,,PW,"JOHN J. BEE, INC.",FIRE,"$24,063.00",,,104431.61
4125ELBE,134109,Infrastructure Upgrade for EHR Implementation - HAB (Emergency Letter Bid) Partial Certification,20130529,,PW,JACK COHEN & COMPANY INCORPORATED,HEALTH,"$461,250.00",,,288540.84
4179GCON,124041,"Hunting Park Court Improvements, 9th & Lycoming. Phila. PA (Partial Certification)",20120217,,PW,GESSLER CONSTRUCTION COMPANY,RECREATION,"$7,804.00",,,29350
4196ELEC,134023,"Site Improvements (Existing Building Renovation & Addition) @ Penrose  Playground, 1101 W. Susquehanna Ave., Phila., PA  (Partially State Funded)",20121129,,PW,MULHERN ELECTRIC COMPANY,RECREATION,"$162,975.00",,,34105.37
4196GCON,134024,"Additon/Renovate Bldg&Site Improve Penrose Playground, Phila PA (Partially State Funded)",20121207,,PW,MILESTONE CONSTRUCTION MANAGEMENT INC,RECREATION,"$999,999.84",,,220569.34
4196MECH,134017,"Addition/Renovate Bldg & Site Improve Penrose Playground, 1101 W. Susquehanna Avenue, Phila PA  (Partially State Funded)",20121228,,PW,ALLSTATES MECHANICAL LTD.,RECREATION,"$104,040.00",,,64343.42
4196PLUM,134018,"Site Improvements (Existing Building Renovation & Addition) @ Penrose  Playground, 1101 W. Susquehanna Ave., Phila., PA  (Partially State Funded)",20121130,,PW,"JOHN J. BEE, INC.",RECREATION,"$93,771.24",,,26624.35
4201ELEC,134039,"Fire Protection Systems Upgrade @ Various Recreation Sites. Phila, PA",20121210,,PW,JACK COHEN & COMPANY INCORPORATED,RECREATION,"$148,625.00",,,2669.5
4218GCON,134088,"Heating System Replacement, Units F&G, Phila Detention Ctr. Phila PA (Partial Certification)",20130807,,PW,MILESTONE CONSTRUCTION MANAGEMENT INC,PRISONS,"$490,844.14",,,8550
4218MECH,134087,"Heating System Replacement, Units F&G, Phila Detention Ctr., Phila PA (Partial Certification)",20130726,,PW,SURETY MECHANICAL SERVICES,PRISONS,"$2,362,808.94",,,412754.4
4231GCON,AB4091,"PANNULLA CONSTRUCTION CO., INC. Bid# 4231GCON",20130918,,PW,"PANNULLA CONSTRUCTION CO., INC.",RECREATION,"$26,405.86",,,26405.86
4255ELEC,124150,"Upgrade Fire Protection Systems @ Various Rec Sites (Group 10) Phila, PA (Partial Certification)",20120808,,PW,FIDELITY BURGLAR & FIRE ALARM CO INC,RECREATION,"$79,886.50",,,43710.23
4268GCON,124118,Site Improvements & General Construction Requirements Contract. Phila PA (Partial Certification),20120523,,PW,BUILDING RESTORATION INC,PUBLIC PROPERTY,"$77,383.69",,,263709.24
4306ELEC,124151,CARR & DUFF INCORPORATED Bid# 4306ELEC,20130306,,PW,CARR & DUFF INCORPORATED,RECREATION,"$178,465.00",,,253373.15
4306GCON,124143,"Sturgis Playground - New Building and Site Improvements, Phila PA",20130226,,PW,SMITH BUILDERS INC,RECREATION,"$2,371,000.00",,,704163.55
4306MECH,124141,"New Building & Site Improvements @ Sturgis Playground  200-220 W. 65th Street, Phila PA (Partial Certification)",20130226,,PW,ALLSTATES MECHANICAL LTD.,RECREATION,"$386,580.00",,,60399
4338ELBG,134072,Emergency Letter Bid,20130116,,PW,DANIEL J KEATING COMPANY,PUBLIC PROPERTY,"$1,537,650.00",,,617824.54
4338SPKR,124121,Install Sprinklers in City Hall Ornate Rooms.,20120516,,PW,FIRE PROTECTION INDUSTRIES INC,PUBLIC PROPERTY,"$985,787.93",,,361192.66
4342ELEC,C84043,HYDE ELECTRIC CORPORATION Bid# 4342ELEC,20130307,,PW,HYDE ELECTRIC CORPORATION,RECREATION,"$24,125.16",,,26907.26
4364MECH,D14073,ALLSTATES MECHANICAL LTD. Bid# 4364MECH,20130806,,PW,ALLSTATES MECHANICAL LTD.,POLICE,"$39,179.98",,,39179.98
4384ELEC,134030,"Provide Outdoor Lighting @ Mander Playground  2140 N. 33rd St., Phila PA (Partial Certification)",20130124,,PW,HYDE ELECTRIC CORPORATION,RECREATION,"$307,500.00",,,78703.22
4400GCON,134057,"Site Improv. at Mill Creek & West Mill Creek Playgrounds, Phila PA",20130215,,PW,DONATO SPAVENTA & SONS INCORPORATED,RECREATION,"$877,149.00",,,315801.84
4411ELEC,124006,"Upgrade Fire Protection Systems @ Various Recreations Sites in Phila, PA (Partial Certification)",20111006,,PW,JACK COHEN & COMPANY INCORPORATED,RECREATION,"$8,327.95",,,2921.25
4425GCON,AN4043,ASSOCIATED SPECIALTY CONTRACTING Bid# 4425GCON,20121217,,PW,ASSOCIATED SPECIALTY CONTRACTING,POLICE,"$43,177.66",,,247286.75
