original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short_desc,start_dt,end_dt,days_remaining,amt,tot_payments,orig_vendor
MPXX14000139,MPXX14000139,City Controllers Office,Albert Scaperotto,Miscellaneous Order,Quality Control Audit Rvw,2013-07-26T09:33:54Z,2014-06-30T00:00:00Z,181.0,19250.0,5775.0,Albert Scaperotto
MPXX14000140,MPXX14000140,City Controllers Office,Carole Buncher & Associates,Miscellaneous Order,Training for Auditors,2013-07-26T09:50:08Z,2014-06-30T00:00:00Z,181.0,12400.0,12400.0,Carole Buncher & Associates
MPXX14000141,MPXX14000141,City Controllers Office,"Ceisler Media & Issue Advocacy, LLC",Miscellaneous Order,Media Consultant,2013-07-26T10:02:18Z,2014-06-30T00:00:00Z,181.0,30000.0,5000.0,"Ceisler Media & Issue Advocacy, LLC"
1320756,1320756,City Controllers Office,CliftonLarsonAllen LLP,Accounting and Auditing Svcs,I T Gen Control Review,2013-05-22T00:00:00Z,2014-05-21T00:00:00Z,141.0,40750.0,38445.0,CliftonLarsonAllen LLP
MPXX14000167,MPXX14000167,City Controllers Office,"EConsult Solutions, Inc",Miscellaneous Order,Analysis Anchor Procurmnt,2013-08-09T11:41:22Z,2014-06-30T00:00:00Z,181.0,15000.0,15000.0,"EConsult Solutions, Inc"
MPXX14000142,MPXX14000142,City Controllers Office,"Fesnak & Associates, LLP",Miscellaneous Order,Consulting Services,2013-07-26T10:19:41Z,2014-06-30T00:00:00Z,181.0,27200.0,7990.0,"Fesnak & Associates, LLP"
1320411,132041101,City Controllers Office,LHV Financial Advisors,General Consultant Services,Review of COP's processes,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,50000.0,11250.0,LHV Financial Advisors
1320393,132039301,City Controllers Office,O'Donnell Associates,General Consultant Services,Consultation Services,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,181.0,40000.0,4842.5,O'Donnell Associates
1020669,102066904,City Controllers Office,WithumSmith+Brown,Accounting and Auditing Svcs,Single City Audit,2013-03-28T00:00:00Z,2014-03-27T00:00:00Z,86.0,109784.0,109784.0,WithumSmith+Brown
1120409,112040903,City Council,Bolton Partners,General Consultant Services,pension consulting svs,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,110000.0,41944.79,Bolton Partners
MPXX14000121,MPXX14000121,City Council,Eric Auerbach,Miscellaneous Order,legislative drafting,2013-07-16T15:24:11Z,2014-06-30T00:00:00Z,181.0,30000.0,20070.0,Eric Auerbach
1320689,1320689,City Council,Kimmel Group Inc.,General Consultant Services,desktop and email support,2013-04-01T00:00:00Z,2014-03-31T00:00:00Z,90.0,175000.0,105100.0,Kimmel Group Inc.
1220535,122053501,City Council,"WURD Radio, LLC fka LEVAS Communications, LLC",General Consultant Services,broadcast of sessions,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,0.0,60000.0,60000.0,"WURD Radio, LLC fka LEVAS Communications, LLC"
1320653,1320653,City Planning,"Michael Baker Jr., Inc.",General Consultant Services,FrnkFrd Crk Grnwy Study,2013-03-04T00:00:00Z,2014-01-31T00:00:00Z,31.0,75000.0,0.0,"Michael Baker Jr., Inc."
