original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short desc,start_dt,end_dt,days_remaining,contract_amount,tot_payments,orig_vendor
MPXX14000139,MPXX14000139,City Controllers Office,Albert Scaperotto,Miscellaneous Order,Quality Control Audit Rvw,2013-07-26T00:00:00Z,2014-06-30T00:00:00Z,91,19250.0,10010.0,Albert Scaperotto
MPXX14000140,MPXX14000140,City Controllers Office,Carole Buncher & Associates,Miscellaneous Order,Training for Auditors,2013-07-26T00:00:00Z,2014-06-30T00:00:00Z,91,12400.0,12400.0,Carole Buncher & Associates
MPXX14000141,MPXX14000141,City Controllers Office,"Ceisler Media & Issue Advocacy, LLC",Miscellaneous Order,Media Consultant,2013-07-26T00:00:00Z,2014-06-30T00:00:00Z,91,30000.0,20000.0,"Ceisler Media & Issue Advocacy, LLC"
1320756,1320756,City Controllers Office,CliftonLarsonAllen LLP,Accounting and Auditing Svcs,I T Gen Control Review,2013-05-22T00:00:00Z,2014-05-21T00:00:00Z,51,40750.0,38445.0,CliftonLarsonAllen LLP
MPXX14000167,MPXX14000167,City Controllers Office,"EConsult Solutions, Inc",Miscellaneous Order,Analysis Anchor Procurmnt,2013-08-09T00:00:00Z,2014-06-30T00:00:00Z,91,15000.0,15000.0,"EConsult Solutions, Inc"
MPXX14000142,MPXX14000142,City Controllers Office,"Fesnak & Associates, LLP",Miscellaneous Order,Consulting Services,2013-07-26T00:00:00Z,2014-06-30T00:00:00Z,91,27200.0,17170.0,"Fesnak & Associates, LLP"
MPXX14000341,MPXX14000341,City Controllers Office,James J. McNichol,Miscellaneous Order,Accouning/Consulting Svs,2014-02-10T00:00:00Z,2014-06-30T00:00:00Z,91,17600.0,1815.0,James J. McNichol
1320411,132041101,City Controllers Office,LHV Financial Advisors,General Consultant Services,Review of COP's processes,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,50000.0,11250.0,LHV Financial Advisors
1320393,132039301,City Controllers Office,O'Donnell Associates,General Consultant Services,Consultation Services,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,40000.0,10237.5,O'Donnell Associates
1020669,102066904,City Controllers Office,WithumSmith+Brown,Accounting and Auditing Svcs,Single City Audit,2013-03-28T00:00:00Z,2014-03-27T00:00:00Z,0,109784.0,109784.0,WithumSmith+Brown
1320528,132052802,City Council,"EConsult Solutions, Inc",General Consultant Services,AVI consulting,2013-09-04T00:00:00Z,2014-06-30T00:00:00Z,91,0.0,13950.63,ECONSULT CORPORATION
MPXX14000121,MPXX14000121,City Council,Eric Auerbach,Miscellaneous Order,legislative drafting,2013-07-16T00:00:00Z,2014-06-30T00:00:00Z,91,30000.0,23550.0,Eric Auerbach
1320689,1320689,City Council,Kimmel Group Inc.,General Consultant Services,desktop and email support,2013-04-01T00:00:00Z,2014-03-31T00:00:00Z,0,175000.0,143450.0,Kimmel Group Inc.
1320653,1320653,City Planning,"Michael Baker Jr., Inc.",General Consultant Services,FrnkFrd Crk Grnwy Study,2013-03-04T00:00:00Z,2014-01-31T00:00:00Z,0,75000.0,33381.99,"Michael Baker Jr., Inc."
MPXX14000338,MPXX14000338,City Planning,"Nimblelight, LLC",Miscellaneous Order,Website Design Brownfield,2014-03-03T00:00:00Z,2014-06-30T00:00:00Z,91,12840.0,0.0,"Nimblelight, LLC"
1120044,112004403,City Representative,Greater Philadelphia Film Office Inc.,General Consultant Services,Promotional Services,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,163952.0,163952.0,Greater Philadelphia Film Office Inc.
1220291,122029102,City Representative,Historic Philadelphia Inc.,General Consultant Services,Historic Tours of Phila.,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,204452.0,204452.0,Historic Philadelphia Inc.
MPXX14000294,MPXX14000294,City Treasurer,AMTEC,Miscellaneous Order,Verification Agent,2013-12-16T00:00:00Z,2014-06-30T00:00:00Z,91,1.0,0.0,AMTEC
1320648,132064801,City Treasurer,ANDRE C DASENT P C,Legal Services,Bond Counsel - PGW &Water,2014-01-01T00:00:00Z,2014-12-31T00:00:00Z,275,0.0,0.0,ANDRE C DASENT P C
1320338,132033801,City Treasurer,"Acacia Financial Group, Inc.",General Consultant Services,Financial Advisor,2013-08-01T00:00:00Z,2014-07-31T00:00:00Z,122,0.0,0.0,"Acacia Financial Group, Inc."
1320649,132064901,City Treasurer,"Ahmad & Zaffarese & Smyler, LLC",Legal Services,Bond Counsel - Water,2014-01-01T00:00:00Z,2014-12-31T00:00:00Z,275,10000.0,0.0,Law Offices of Denise Joy Smyler
1120293,112029303,City Treasurer,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",Legal Services,Legal Counsel GO and OTB,2013-10-08T00:00:00Z,2014-10-07T00:00:00Z,190,0.0,0.0,"Grant & Lebowitz, LLC."
1120292,112029203,City Treasurer,Cozen O'Connor,Legal Services,Legal Counsel,2013-10-08T00:00:00Z,2014-10-07T00:00:00Z,190,0.0,0.0,Cozen O'Connor
1220136,122013602,City Treasurer,Dilworth Paxson LLP,Legal Services,Legan Counsel,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,0.0,0.0,Dilworth Paxson LLP
1120384,112038403,City Treasurer,ECONSULT CORPORATION,General Consultant Services,Authorized Depositories,2013-12-15T00:00:00Z,2014-12-14T00:00:00Z,258,41000.0,20500.0,ECONSULT CORPORATION
1020581,102058103,City Treasurer,First Southwest Company,General Consultant Services,Financial Advisor-Airport,2013-03-08T00:00:00Z,2014-03-07T00:00:00Z,0,20000.0,0.0,First Southwest Company
1020582,102058203,City Treasurer,"Frasca & Associates, LLC",General Consultant Services,Financial Advisor Airport,2013-03-08T00:00:00Z,2014-03-07T00:00:00Z,0,20000.0,0.0,"Frasca & Associates, LLC"
1020585,102058503,City Treasurer,Gonzalez Saggio & Harlan LLP,Legal Services,Bond Counsel-Airport,2013-02-01T00:00:00Z,2014-01-31T00:00:00Z,0,0.0,0.0,Gonzalez Saggio & Harlan LLP
1020585,102058504,City Treasurer,Gonzalez Saggio & Harlan LLP,Legal Services,Bond Counsel - Airport,2014-02-01T00:00:00Z,2014-04-30T00:00:00Z,30,0.0,0.0,Gonzalez Saggio & Harlan LLP
1220137,122013702,City Treasurer,Gonzalez Saggio & Harlan LLP,Legal Services,Legal Services - TRAN,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,0.0,0.0,Gonzalez Saggio & Harlan LLP
1020470,102047004,City Treasurer,Hughes Capital Management Inc,General Consultant Services,Investment Manager,2014-01-01T00:00:00Z,2014-06-30T00:00:00Z,91,0.0,0.0,Hughes Capital Management Inc
MPXX14000114,MPXX14000114,City Treasurer,"ImageMaster, LLC",Miscellaneous Order,Printer,2013-07-12T00:00:00Z,2014-06-30T00:00:00Z,91,1.0,0.0,"ImageMaster, LLC"
MPXX14000122,MPXX14000122,City Treasurer,"McElwes and Quinn, LLC",Miscellaneous Order,Printer,2013-07-17T00:00:00Z,2014-06-30T00:00:00Z,91,1.0,0.0,"McElwes and Quinn, LLC"
1020471,102047104,City Treasurer,"PFM Asset Management, LLC",General Consultant Services,Investment Manager,2014-01-01T00:00:00Z,2014-06-30T00:00:00Z,91,0.0,0.0,"PFM Asset Management, LLC"
1320366,132036601,City Treasurer,"PFM Asset Management, LLC",General Consultant Services,Arbitrage Calc Provider,2013-07-01T00:00:00Z,2014-06-30T00:00:00Z,91,77000.0,32000.0,"PFM Asset Management, LLC"
1220175,122017502,City Treasurer,"Phoenix Capital Partners, LLP",General Consultant Services,Fiinancial Advisor,2013-07-12T00:00:00Z,2014-07-11T00:00:00Z,102,0.0,0.0,"Phoenix Capital Partners, LLP"
1220174,122017402,City Treasurer,Public Financial Management Inc,General Consultant Services,Financial Advisor Water,2013-07-12T00:00:00Z,2014-07-11T00:00:00Z,102,0.0,0.0,Public Financial Management Inc
1320337,132033701,City Treasurer,Public Financial Management Inc,General Consultant Services,Financial Advisor,2013-08-01T00:00:00Z,2014-07-31T00:00:00Z,122,0.0,0.0,Public Financial Management Inc
1020480,102048004,City Treasurer,"RBC Global Asset Management (U.S.), Inc",General Consultant Services,Investment Manager,2014-01-01T00:00:00Z,2014-06-30T00:00:00Z,91,0.0,0.0,"RBC Global Asset Management (U.S.), Inc"
MPXX14000293,MPXX14000293,City Treasurer,"Robert Thomas CPA, LLC",Miscellaneous Order,Verification Agent,2013-08-30T00:00:00Z,2014-06-30T00:00:00Z,91,1.0,0.0,"Robert Thomas CPA, LLC"
