original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short_desc,start_dt,end_dt,days_remaining,contract_amount,tot_payments,orig_vendor,exempt_status,adv_or_exempt,profit_status
MPXX15000109,MPXX15000109,CITY CONTROLLER Z,Carole Buncher & Associates,Miscellaneous Order,Training Sessions,7/11/2014,6/30/2015,273,"12,500.00","12,400.00",Carole Buncher & Associates,102,EXEMPT,For Profit
MPXX15000110,MPXX15000110,CITY CONTROLLER Z,Carole Buncher & Associates,Miscellaneous Order,Training Sessions,7/11/2014,6/30/2015,273,"2,000.00","1,600.00",Carole Buncher & Associates,102,EXEMPT,For Profit
MPXX15000164,MPXX15000164,CITY CONTROLLER Z,"Ceisler Media & Issue Advocacy, LLC",Miscellaneous Order,Media Consultant,8/8/2014,6/30/2015,273,"30,000.00","7,500.00","Ceisler Media & Issue Advocacy, LLC",102,EXEMPT,For Profit
MPXX15000111,MPXX15000111,CITY CONTROLLER Z,"Fesnak & Associates, LLP",Miscellaneous Order,Consulting Services,7/11/2014,6/30/2015,273,"28,000.00", -   ,"Fesnak & Associates, LLP",102,EXEMPT,For Profit
MPXX15000141,MPXX15000141,CITY CONTROLLER Z,James J. McNichol,Miscellaneous Order,Quality Control Audit Rvw,7/22/2014,6/30/2015,273,"31,875.00", -   ,James J. McNichol,102,EXEMPT,For Profit
MPXX15000163,MPXX15000163,CITY CONTROLLER Z,James J. McNichol,Miscellaneous Order,Accounting/Consuling Svcs,8/7/2014,6/30/2015,273,"16,500.00","6,787.50",James J. McNichol,102,EXEMPT,For Profit
1320411,132041102,CITY CONTROLLER Z,LHV Financial Advisors,General Consultant Services,Review of COP's Processes,7/1/2014,6/30/2015,273,"50,000.00", -   ,LHV Financial Advisors,1,ADVERTISED,For Profit
1420560,1420560,CITY CONTROLLER Z,"Milligan & Company, LLC",Accounting and Auditing Svcs,City Single Audit 2013,6/9/2014,6/8/2015,251,"35,641.00", -   ,"Milligan & Company, LLC",1,ADVERTISED,For Profit
MPXX15000156,MPXX15000156,CITY CONTROLLER Z,Research for Action,Miscellaneous Order,Policy Scan/Summary Prep,7/30/2014,6/30/2015,273,"10,000.00", -   ,Research for Action,102,EXEMPT,Non Profit
1420431,1420431,CITY PLANNING COMMISSION Z,"Stromberg Garrigan & Associates, Inc.",General Consultant Services,Brownfields  Frnkfrd Crk,3/3/2014,3/2/2015,153,"160,000.00","7,181.23","Stromberg Garrigan & Associates, Inc.",1,ADVERTISED,For Profit
1220291,122029103,CITY REPRESENTATIVE Z,Historic Philadelphia Inc.,General Consultant Services,Historic Tours of Phila,7/1/2014,6/30/2015,273,"204,452.00","204,452.00",Historic Philadelphia Inc.,8,EXEMPT,Non Profit
1320648,132064801,CITY TREASURER Z,ANDRE C DASENT P C,Legal Services,Bond Counsel - PGW &Water,1/1/2014,12/31/2014,92, -   , -   ,ANDRE C DASENT P C,1,ADVERTISED,For Profit
1320338,132033801,CITY TREASURER Z,"Acacia Financial Group, Inc.",General Consultant Services,Financial Advisor,8/1/2013,7/31/2014,0, -   , -   ,"Acacia Financial Group, Inc.",1,ADVERTISED,For Profit
1320649,132064901,CITY TREASURER Z,"Ahmad & Zaffarese & Smyler, LLC",Legal Services,Bond Counsel - Water,1/1/2014,12/31/2014,92,"10,000.00", -   ,Law Offices of Denise Joy Smyler,1,ADVERTISED,For Profit
1120293,112029303,CITY TREASURER Z,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",Legal Services,Legal Counsel GO and OTB,10/8/2013,10/7/2014,7, -   , -   ,"Grant & Lebowitz, LLC.",1,ADVERTISED,For Profit
1320647,132064701,CITY TREASURER Z,Ballard Spahr LLP,Legal Services,Bond Counsel - PGW &Water,1/1/2014,12/31/2014,92,"30,000.00", -   ,Ballard Spahr LLP,1,ADVERTISED,For Profit
1120292,112029203,CITY TREASURER Z,Cozen O'Connor,Legal Services,Legal Counsel,10/8/2013,10/7/2014,7, -   , -   ,Cozen O'Connor,1,ADVERTISED,For Profit
1220136,122013603,CITY TREASURER Z,Dilworth Paxson LLP,Legal Services,Legal Services - TRAN,7/1/2014,6/30/2015,273, -   , -   ,Dilworth Paxson LLP,1,ADVERTISED,For Profit
1120384,112038404,CITY TREASURER Z,"EConsult Solutions, Inc",General Consultant Services,Authorized Depositories,12/15/2013,12/14/2014,75,"41,000.00","41,000.00",ECONSULT CORPORATION,1,ADVERTISED,For Profit
1320646,132064601,CITY TREASURER Z,"Eckert Seamans Cherin & Mellott, LLC",Legal Services,Bond Counsel - PGW,1/1/2014,12/31/2014,92, -   , -   ,Blank Rome LLP,1,ADVERTISED,For Profit
1420529,1420529,CITY TREASURER Z,"Eckert Seamans Cherin & Mellott, LLC",Legal Services,Bond Counsel -,4/1/2014,3/31/2015,182, -   , -   ,"Eckert Seamans Cherin & Mellott, LLC",6,EXEMPT,For Profit
1020581,102058104,CITY TREASURER Z,First Southwest Company,General Consultant Services,Financial Advisor-Airport,3/8/2014,9/7/2014,0, -   , -   ,First Southwest Company,1,ADVERTISED,For Profit
1020582,102058204,CITY TREASURER Z,"Frasca & Associates, LLC",General Consultant Services,Financial Advisor-Airport,3/8/2014,9/7/2014,0, -   , -   ,"Frasca & Associates, LLC",1,ADVERTISED,For Profit
1520249,1520249,CITY TREASURER Z,"Frasca & Associates, LLC",General Consultant Services,Financial Advisor Airport,8/1/2014,7/31/2015,304,"50,000.00", -   ,"Frasca & Associates, LLC",1,ADVERTISED,For Profit
1020585,102058505,CITY TREASURER Z,Gonzalez Saggio & Harlan LLP,Legal Services,Bond Counsel - Airport,5/1/2014,7/31/2014,0, -   , -   ,Gonzalez Saggio & Harlan LLP,1,ADVERTISED,For Profit
1220137,122013703,CITY TREASURER Z,Gonzalez Saggio & Harlan LLP,Legal Services,Legal Services - TRAN,7/1/2014,6/30/2015,273, -   , -   ,Gonzalez Saggio & Harlan LLP,1,ADVERTISED,For Profit
1320645,132064501,CITY TREASURER Z,"Greenberg Traurig, LLP",Legal Services,Bond Counsel - Water,1/1/2014,12/31/2014,92, -   , -   ,"Greenberg Traurig, LLP",1,ADVERTISED,For Profit
