original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short desc,start_dt,end_dt,days_remaining,contract_amount,tot_payments,orig_vendor
MPXX13000109,MPXX13000109,City Controllers Office,Albert Scaperotto,Miscellaneous Order,Quality Control Audit Rvw,2012-07-11T16:21:27Z,2013-06-30T00:00:00Z,0,22000,11908,Albert Scaperotto
MPXX13000147,MPXX13000147,City Controllers Office,"Ceisler Media & Issue Advocacy, LLC",Miscellaneous Order,Media Consultant,2012-08-08T12:16:24Z,2013-06-30T00:00:00Z,0,30000,0,
MPXX13000334,MPXX13000334,City Controllers Office,Charles Swanson,Miscellaneous Order,Economic Consultant,2013-04-09T15:56:12Z,2013-06-30T00:00:00Z,0,8000,0,Charles Swanson
1220603,122060301,City Controllers Office,Cliftonlarsonallen LLP ,Accounting and Auditing Svcs,Delinqunt Prprty Tx Audit,2012-06-26T00:00:00Z,2013-06-25T00:00:00Z,0,0,0,Clifton Gunderson LLP
1320756,1320756,City Controllers Office,Cliftonlarsonallen LLP ,Accounting and Auditing Svcs,I T Gen Control Review,2013-05-22T00:00:00Z,2014-05-21T00:00:00Z,325,40750,0,CliftonLarsonAllen LLP 
MPXX13000246,MPXX13000246,City Controllers Office,Cliftonlarsonallen LLP ,Miscellaneous Order,Computer Controls Review,2012-12-04T15:06:11Z,2013-06-30T00:00:00Z,0,29000,29000,CliftonLarsonAllen LLP 
MPXX13000371,MPXX13000371,City Controllers Office,"David A. Lopez And Company, LLC",Miscellaneous Order,Compliance Audit,2013-06-24T11:57:38Z,2013-06-30T00:00:00Z,0,23880,23880,
MPXX13000277,MPXX13000277,City Controllers Office,"Eisner Amper, LLP",Miscellaneous Order,Fllwup Survlnc Camr Audit,2013-01-23T12:18:26Z,2013-06-30T00:00:00Z,0,24950,-5025,
MPXX13000107,MPXX13000107,City Controllers Office,"Fesnak & Associates, LLP",Miscellaneous Order,Consulting Services,2012-07-11T14:31:58Z,2013-06-30T00:00:00Z,0,26000,12837,
MPXX13000280,MPXX13000280,City Controllers Office,Hlt Advisory Inc.,Miscellaneous Order,Casino Proposal Assessmnt,2013-01-23T16:03:21Z,2013-06-30T00:00:00Z,0,30000,26250,HLT Advisory Inc.
MPXX13000346,MPXX13000346,City Controllers Office,Holmes & Company LLC,Miscellaneous Order,City Vehicle Use Audit,2013-05-07T11:22:40Z,2013-06-30T00:00:00Z,0,30000,0,Holmes & Company LLC
MPXX13000329,MPXX13000329,City Controllers Office,Joseph D. Alkus,Miscellaneous Order,8 One Hour Training Sesns,2013-03-27T14:27:06Z,2013-06-30T00:00:00Z,0,2400,2400,Joseph D. Alkus
1320411,1320411,City Controllers Office,Lhv Financial Advisors,General Consultant Services,Financial Advisor,2012-08-06T00:00:00Z,2013-06-30T00:00:00Z,0,40000,26875,LHV Financial Advisors
MPXX13000368,MPXX13000368,City Controllers Office,"Milligan & Company, LLC",Miscellaneous Order,Philadelphia Art Audit,2013-06-14T11:50:27Z,2013-06-30T00:00:00Z,0,29000,29000,
1320393,1320393,City Controllers Office,O'donnell Associates,General Consultant Services,Consultation Services,2012-08-06T00:00:00Z,2013-06-30T00:00:00Z,0,40000,17190,O'Donnell Associates
MPXX13000171,MPXX13000171,City Controllers Office,Quality Communications Group,Miscellaneous Order,Develope/evalutate exam,2012-08-29T13:36:53Z,2013-06-30T00:00:00Z,0,1000,1000,Quality Communications Group
MPXX13000330,MPXX13000330,City Controllers Office,Robert P. Strauss,Miscellaneous Order,Sales Ration Analysis,2013-03-27T15:53:03Z,2013-06-30T00:00:00Z,0,27500,27422,Robert P. Strauss
MPXX13000355,MPXX13000355,City Controllers Office,"Shechtman, Marks & Devor, P.C.",Miscellaneous Order,Bank Items Return Audit,2013-05-30T14:29:04Z,2013-06-30T00:00:00Z,0,3869,,
MPXX13000129,MPXX13000129,City Controllers Office,"Surgent Mccoy, CPE",Miscellaneous Order,Two 8hr Training Programs,2012-07-24T15:50:46Z,2013-06-30T00:00:00Z,0,17674,3107,
MPXX13000370,MPXX13000370,City Controllers Office,"The Mercadien, P.C.",Miscellaneous Order,Manual Updates Compliance,2013-06-20T11:29:19Z,2013-06-30T00:00:00Z,0,28000,28000,
