original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short_desc,start_dt,end_dt,days_remaining,contract_amount,tot_payments,orig_vendor
MPXX14000139,MPXX14000139,CITY CONTROLLERS OFFICE,Albert Scaperotto,Miscellaneous Order,Quality Control Audit Rvw,2013-07-26,2014-06-30,0,19250,13860,Albert Scaperotto
MPXX14000140,MPXX14000140,CITY CONTROLLERS OFFICE,Carole Buncher & Associates,Miscellaneous Order,Training for Auditors,2013-07-26,2014-06-30,0,12400,12400,Carole Buncher & Associates
MPXX14000141,MPXX14000141,CITY CONTROLLERS OFFICE,"Ceisler Media & Issue Advocacy, LLC",Miscellaneous Order,Media Consultant,2013-07-26,2014-06-30,0,30000,25000,"Ceisler Media & Issue Advocacy, LLC"
MPXX14000383,MPXX14000383,CITY CONTROLLERS OFFICE,Charles Swanson,Miscellaneous Order,Economic Consultant,2014-04-16,2014-06-30,0,8000,0,Charles Swanson
1320756,1320756,CITY CONTROLLERS OFFICE,CliftonLarsonAllen LLP,Accounting and Auditing Svcs,I T Gen Control Review,2013-05-22,2014-05-21,0,40750,38445,CliftonLarsonAllen LLP
MPXX14000392,MPXX14000392,CITY CONTROLLERS OFFICE,"Dress Consulting, LLC",Miscellaneous Order,Fraud Invstgtn Asstsnce,2014-05-15,2014-06-30,0,31992,0,"Dress Consulting, LLC"
MPXX14000167,MPXX14000167,CITY CONTROLLERS OFFICE,"EConsult Solutions, Inc",Miscellaneous Order,Analysis Anchor Procurmnt,2013-08-09,2014-06-30,0,15000,15000,"EConsult Solutions, Inc"
MPXX14000142,MPXX14000142,CITY CONTROLLERS OFFICE,"Fesnak & Associates, LLP",Miscellaneous Order,Consulting Services,2013-07-26,2014-06-30,0,27200,20740,"Fesnak & Associates, LLP"
MPXX14000341,MPXX14000341,CITY CONTROLLERS OFFICE,James J. McNichol,Miscellaneous Order,Accouning/Consulting Svs,2014-02-10,2014-06-30,0,17600,7205,James J. McNichol
1320411,132041101,CITY CONTROLLERS OFFICE,LHV Financial Advisors,General Consultant Services,Review of COP's processes,2013-07-01,2014-06-30,0,50000,22750,LHV Financial Advisors
1320393,132039301,CITY CONTROLLERS OFFICE,O'Donnell Associates,General Consultant Services,Consultation Services,2013-07-01,2014-06-30,0,40000,16022.5,O'Donnell Associates
MPXX14000410,MPXX14000410,CITY CONTROLLERS OFFICE,WithumSmith+Brown,Miscellaneous Order,Water Revolvng Fund Audit,2014-06-18,2014-06-30,0,22260,0,WithumSmith+Brown
1120409,112040904,CITY COUNCIL,Bolton Partners,General Consultant Services,pension consulting svs,2014-01-01,2014-06-30,0,30000,0,Bolton Partners
1420497,1420497,CITY COUNCIL,"Concentric Energy Advisors, Inc.",General Consultant Services,natural gas analysis,2014-04-01,2015-03-31,274,276750,112409.61,"Concentric Energy Advisors, Inc."
