<<<<<<< HEAD
original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short desc,start_dt,end_dt,days_remaining, amt , tot_payments ,orig_vendor,exempt_status,adv_or_exempt,profit_status
320500,32050012,COMMERCE,Vanasse Hangen Brustlin (VHB),General Consultant Services,AMENDMENT 12,7/1/14,6/30/15,181,0,0,Vanasse Hangen Brustlin (VHB),,Prior to 2-1-2006,For Profit
320600,32060010,COMMERCE,Daroff Design Inc. + DDI Architects PC,Architect and Engineer Svcs,AMENDMENT 10-TIME ONLY,12/1/13,11/30/14,0,0,0,Daroff Design Inc. + DDI Architects PC,,Prior to 2-1-2006,For Profit
520188,52018812,WATER,U.S.  Department of the Interior Geologial Survey,General Consultant Services,Wtr Res Investigations,7/1/14,6/30/15,181,"248,705.00","17,795.00",U.S.  Department of the Interior Geologial Survey,,Prior to 2-1-2006,For Profit
620388,62038804,PUBLIC PROPERTY,Dome-Tech Inc,General Consultant Services,New Youth Study Center,11/7/13,11/6/14,0,"14,600.00","49,291.20","Dome-Tech, Inc.",,Prior to 2-1-2006,For Profit
820428,820428,FINANCE,RBC Capital Markets,Investment Advisor-Manager,Remarketing Agent,12/7/07,8/1/31,6057,0,0,RBC Capital Markets,1,ADVERTISED,For Profit
820556,82055602,COMMERCE,Sheward Partnership,Architect and Engineer Svcs,AMENDMENT TWO,6/30/08,12/31/14,0,"17,512,527.00","17,511,893.81",Sheward Partnership,1,ADVERTISED,For Profit
920388,92038806,DIVISION OF TECHNOLOGY,Acumen Group Incorporated,Computer and Information Svcs,Law Document Mgmt. System,5/15/14,11/14/14,0,0,"104,173.05",Acumen Group Incorporated,1,ADVERTISED,For Profit
920626,92062606,PENSION BOARD,"Brandywine Global Investment Management, LLC",Investment Advisor-Manager,Global Fixed Income,1/1/14,12/31/14,0,0,0,"Brandywine Global Investment Management, LLC",1,ADVERTISED,For Profit
920675,92067507,LAW,"Schnader, Harrison, Segal, Lewis, LLP",Legal Services,Parcel C Proceedings,7/29/14,7/28/15,209,0,0,"Schnader, Harrison, Segal, Lewis, LLP",6,EXEMPT,For Profit
920910,92091006,PENSION BOARD,MacKay Shields LLC,Investment Advisor-Manager,High Yield,5/1/14,4/30/15,120,0,0,MacKay Shields LLC,1,ADVERTISED,For Profit
920940,92094005,PENSION BOARD,"Aronson+Johnson+Ortiz, LP",Investment Advisor-Manager,Large Cap Value,5/31/14,5/30/15,150,0,0,"Aronson+Johnson+Ortiz, LP",1,ADVERTISED,For Profit
920948,92094808,LAW,Anderson & Kreiger LLP,Legal Services,Legal Rep.,6/2/14,6/1/15,152,0,0,Anderson & Kreiger LLP,6,EXEMPT,For Profit
1020351,102035106,DIVISION OF TECHNOLOGY,OnLine Consulting,Computer and Information Svcs,Citywide IT Training,9/1/14,11/30/14,0,0,"16,018.50",OnLine Consulting,1,ADVERTISED,For Profit
1020383,102038303,PUBLIC PROPERTY,"LRSLA Studio, Inc.",Architect and Engineer Svcs,Landscape Architectural,12/1/13,11/30/14,0,"306,315.00","103,815.25","LRSLA Studio, Inc.",1,ADVERTISED,For Profit
1020384,102038407,DIVISION OF TECHNOLOGY,Knowledge Solutions International,Computer and Information Svcs,Citywide IT Training,10/1/14,12/30/14,0,0,"3,960.00",Knowledge Solutions International,1,ADVERTISED,For Profit
1020397,102039703,PUBLIC PROPERTY,Thompson Mark B Associates,Architect and Engineer Svcs,Letitia House Rehab,11/1/13,10/31/14,0,0,0,Thompson Mark B Associates,1,ADVERTISED,For Profit
1020409,102040905,PERSONNEL,Vision Benefits of America,General Consultant Services,Vision Care,1/1/14,12/31/14,0,"375,000.00",0,Vision Benefits of America,1,ADVERTISED,Non Profit
1020426,102042603,PUBLIC PROPERTY,Bolender Architects,Architect and Engineer Svcs,Health Center 10 Elevator,2/1/14,1/31/15,31,0,0,"Schade and Bolender Arch., LLP",1,ADVERTISED,For Profit
1020427,102042702,PUBLIC PROPERTY,Buell Kratzer Powell,Architect and Engineer Svcs,Woodstock Shelter Facade,1/1/14,12/31/14,0,0,0,Buell Kratzer Powell,1,ADVERTISED,For Profit
1020428,102042803,PUBLIC PROPERTY,Bolender Architects,Architect and Engineer Svcs,Health Ctrs 2 & 10,2/1/14,1/31/15,31,0,0,"Schade and Bolender Arch., LLP",1,ADVERTISED,For Profit
1020453,102045304,SINKING FUND COMM,"Garcia Hamilton & Associates, L.P.",Investment Advisor-Manager,Renewal,1/14/14,12/1/14,0,0,0,"Garcia Hamilton & Associates, L.P.",1,ADVERTISED,For Profit
1020460,102046003,COMMERCE,"Kelly/Maiello, Inc.",Architect and Engineer Svcs,RENEWAL TWO,1/1/14,12/31/14,0,0,"694,758.54","Kelly/Maiello, Inc.",1,ADVERTISED,For Profit
