original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short desc,start_dt,end_dt,days_remaining, amt , tot_payments ,orig_vendor,exempt_status,adv_or_exempt,profit_status
MPXX15000305,MPXX15000305,BOARD OF ETHICS,"Asterion, Inc.",Miscellaneous Order,Accounting Services,2/6/15,6/30/15,91," 25,000.00 "," 24,304.00 ","Asterion, Inc.",102,EXEMPT,For Profit
MPXX15000214,MPXX15000214,CITY COMMISSIONERS,Delaware Valley Lift Truck Inc,Miscellaneous Order,OSHA Forklift Training,10/13/14,6/30/15,91," 1,420.00 "," 1,420.00 ",Delaware Valley Lift Truck Inc,102,EXEMPT,For Profit
1520399,1520399,CITY CONTROLLERS OFFICE,CCH Inc,Computer and Information Svcs,Paperless Workflow System,3/31/15,3/30/16,365," 223,795.00 ", -   ,CCH Inc,01,ADVERTISED,For Profit
MPXX15000109,MPXX15000109,CITY CONTROLLERS OFFICE,Carole Buncher & Associates,Miscellaneous Order,Training Sessions,7/11/14,6/30/15,91," 12,500.00 "," 12,400.00 ",Carole Buncher & Associates,102,EXEMPT,For Profit
MPXX15000110,MPXX15000110,CITY CONTROLLERS OFFICE,Carole Buncher & Associates,Miscellaneous Order,Training Sessions,7/11/14,6/30/15,91," 2,000.00 "," 1,600.00 ",Carole Buncher & Associates,102,EXEMPT,For Profit
MPXX15000164,MPXX15000164,CITY CONTROLLERS OFFICE,"Ceisler Media & Issue Advocacy, LLC",Miscellaneous Order,Media Consultant,8/8/14,6/30/15,91," 30,000.00 "," 17,500.00 ","Ceisler Media & Issue Advocacy, LLC",102,EXEMPT,For Profit
MPXX15000111,MPXX15000111,CITY CONTROLLERS OFFICE,"Fesnak & Associates, LLP",Miscellaneous Order,Consulting Services,7/11/14,6/30/15,91," 28,000.00 "," 4,200.00 ","Fesnak & Associates, LLP",102,EXEMPT,For Profit
MPXX15000141,MPXX15000141,CITY CONTROLLERS OFFICE,James J. McNichol,Miscellaneous Order,Quality Control Audit Rvw,7/22/14,6/30/15,91," 31,875.00 "," 8,568.75 ",James J. McNichol,102,EXEMPT,For Profit
MPXX15000163,MPXX15000163,CITY CONTROLLERS OFFICE,James J. McNichol,Miscellaneous Order,Accounting/Consuling Svcs,8/7/14,6/30/15,91," 16,500.00 "," 8,700.00 ",James J. McNichol,102,EXEMPT,For Profit
1320411,132041102,CITY CONTROLLERS OFFICE,LHV Financial Advisors,General Consultant Services,Review of COP's Processes,7/1/14,6/30/15,91," 50,000.00 "," 17,375.00 ",LHV Financial Advisors,01,ADVERTISED,For Profit
1420560,1420560,CITY CONTROLLERS OFFICE,"Milligan & Company, LLC",Accounting and Auditing Svcs,City Single Audit 2013,6/9/14,6/8/15,69," 35,641.00 "," 35,641.00 ","Milligan & Company, LLC",01,ADVERTISED,For Profit
MPXX15000267,MPXX15000267,CITY CONTROLLERS OFFICE,"Mitchell & Titus, LLP",Miscellaneous Order,Agreed Upon Procedures,11/24/14,6/30/15,91," 25,000.00 ", -   ,"Mitchell & Titus, LLP",102,EXEMPT,For Profit
MPXX15000156,MPXX15000156,CITY CONTROLLERS OFFICE,Research for Action,Miscellaneous Order,Policy Scan/Summary Prep,7/30/14,6/30/15,91," 10,000.00 ", -   ,Research for Action,102,EXEMPT,Non Profit
1420497,142049701,CITY COUNCIL,"Concentric Energy Advisors, Inc.",General Consultant Services,financial advisor on PGW,4/1/14,3/31/15,0," 376,750.00 "," 340,627.99 ","Concentric Energy Advisors, Inc.",01,ADVERTISED,For Profit
1420498,142049801,CITY COUNCIL,"Concentric Energy Advisors, Inc.",General Consultant Services,connsulting svs on PGW,4/1/14,3/31/15,0," 446,000.00 "," 420,671.07 ","Concentric Energy Advisors, Inc.",01,ADVERTISED,For Profit
1320528,132052804,CITY COUNCIL,"EConsult Solutions, Inc",General Consultant Services,continuing work on AVI,1/1/15,12/31/15,275," 10,000.00 ", -   ,ECONSULT CORPORATION,01,ADVERTISED,For Profit
MPXX15000105,MPXX15000105,CITY COUNCIL,Eric Auerbach,Miscellaneous Order,legislative drafting svs,7/1/14,6/30/15,91," 32,000.00 "," 24,342.50 ",Eric Auerbach,102,EXEMPT,For Profit
1320781,132078101,CITY COUNCIL,"Granicus, Inc.",Computer and Information Svcs,legislative tracking,6/30/14,6/29/15,90," 70,000.00 "," 26,821.32 ","Granicus, Inc.",01,ADVERTISED,For Profit
1320689,132068901,CITY COUNCIL,Kimmel Group Inc.,General Consultant Services,desktop and email support,4/1/14,3/31/15,0," 175,000.00 "," 151,757.50 ",Kimmel Group Inc.,01,ADVERTISED,For Profit
MPXX15000275,MPXX15000275,CITY COUNCIL,Scott J. Rubin,Miscellaneous Order,consulting svs,12/1/14,6/30/15,91," 10,000.00 "," 6,998.26 ",Scott J. Rubin,102,EXEMPT,For Profit
MPXX15000274,MPXX15000274,CITY COUNCIL,Triad Strategies LLC,Miscellaneous Order,production of materials,10/20/14,6/30/15,91," 15,000.00 "," 14,936.89 ",Triad Strategies LLC,102,EXEMPT,For Profit
MPXX15000298,MPXX15000298,CITY COUNCIL,Triad Strategies LLC,Miscellaneous Order,state lobbying services,1/5/15,6/30/15,91," 15,000.00 "," 7,800.00 ",Triad Strategies LLC,102,EXEMPT,For Profit
1220535,122053503,CITY COUNCIL,"WURD Radio, LLC fka LEVAS Communications, LLC",General Consultant Services,broadcast of council mtgs,1/1/15,12/31/15,275," 60,000.00 ", -   ,"WURD Radio, LLC fka LEVAS Communications, LLC",01,ADVERTISED,For Profit
1420431,1420431,CITY PLANNING,"Stromberg Garrigan & Associates, Inc.",General Consultant Services,Brownfields  Frnkfrd Crk,3/3/14,3/2/15,0," 160,000.00 "," 89,102.45 ","Stromberg Garrigan & Associates, Inc.",01,ADVERTISED,For Profit
