original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short desc,start_dt,end_dt,days_remaining,amt,tot_payments,orig_vendor,exempt_status,adv_or_exempt,profit_status
1420405,142040501,FINANCE,"David Donn Consulting, Inc.",General Consultant Services,WC Managed Care Consultan,1/1/2015,12/31/2015,184,"-450,000.00",0,"David Donn Consulting, Inc.",1,ADVERTISED,For Profit
1320488,132048802,LAW,Manko Gold  Katcher Fox LLP,Legal Services,Legal Advisors - PGW,9/1/2014,8/31/2015,62,"-120,000.00",0,Manko Gold  Katcher Fox LLP,1,ADVERTISED,For Profit
1420431,142043101,CITY PLANNING,"Stromberg Garrigan & Associates, Inc.",General Consultant Services,Renewal,3/3/2015,9/30/2015,92,0,"36,188.51","Stromberg Garrigan & Associates, Inc.",1,ADVERTISED,For Profit
1320648,132064802,CITY TREASURER,ANDRE C DASENT P C,Legal Services,Bond Counsel -PGW & Water,1/1/2015,12/31/2015,184,0,0,ANDRE C DASENT P C,1,ADVERTISED,For Profit
1320338,132033802,CITY TREASURER,"Acacia Financial Group, Inc.",General Consultant Services,Financial Advisor,8/1/2014,7/31/2015,31,0,0,"Acacia Financial Group, Inc.",1,ADVERTISED,For Profit
1320649,132064902,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,Bond Counsel - Water,1/1/2015,12/31/2015,184,0,0,Law Offices of Denise Joy Smyler,1,ADVERTISED,For Profit
1520434,1520434,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,Bond & Disclosure Counsel,12/15/2014,12/14/2015,167,0,0,Ahmad Zaffarese LLC,1,ADVERTISED,For Profit
1520439,1520439,CITY TREASURER,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",Legal Services,GF Disclosure Counsel,12/15/2014,12/14/2015,167,0,0,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",1,ADVERTISED,For Profit
1520435,1520435,CITY TREASURER,Ballard Spahr LLP,Legal Services,Bond & Disclosure Counsel,12/15/2014,12/14/2015,167,0,0,Ballard Spahr LLP,1,ADVERTISED,For Profit
1220136,122013603,CITY TREASURER,Dilworth Paxson LLP,Legal Services,Legal Services - TRAN,7/1/2014,6/30/2015,0,0,0,Dilworth Paxson LLP,1,ADVERTISED,For Profit
1520437,1520437,CITY TREASURER,"Eckert Seamans Cherin & Mellott, LLC",Legal Services,Bond & Disclosure Counsel,12/15/2014,12/14/2015,167,0,0,"Eckert Seamans Cherin & Mellott, LLC",1,ADVERTISED,For Profit
1220137,122013703,CITY TREASURER,Gonzalez Saggio & Harlan LLP,Legal Services,Legal Services - TRAN,7/1/2014,6/30/2015,0,0,0,Gonzalez Saggio & Harlan LLP,1,ADVERTISED,For Profit
1520450,1520450,CITY TREASURER,Hawkins Delafield & Wood LLP,Legal Services,GF Disclosure Counsel,12/15/2014,12/14/2015,167,0,0,Hawkins Delafield & Wood LLP,1,ADVERTISED,For Profit
1320654,132065402,CITY TREASURER,Nixon Peabody LLP,Legal Services,Bond Counsel - PGW,1/1/2015,12/31/2015,184,0,0,Nixon Peabody LLP,1,ADVERTISED,For Profit
1220175,122017503,CITY TREASURER,"Phoenix Capital Partners, LLP",General Consultant Services,Financial Advisor - Water,7/12/2014,7/11/2015,11,0,0,"Phoenix Capital Partners, LLP",1,ADVERTISED,For Profit
1420485,142048501,CITY TREASURER,"Phoenix Capital Partners, LLP",General Consultant Services,Financial Advisor-PGW,1/1/2015,12/31/2015,184,0,0,"Phoenix Capital Partners, LLP",1,ADVERTISED,For Profit
1320337,132033702,CITY TREASURER,Public Financial Management Inc,General Consultant Services,Financial Advisor,8/1/2014,7/31/2015,31,0,0,Public Financial Management Inc,1,ADVERTISED,For Profit
1520436,1520436,CITY TREASURER,"Turner Law, P.C.",Legal Services,Bond & Disclosure Counsel,12/15/2014,12/14/2015,167,0,0,"Turner Law, P.C.",1,ADVERTISED,For Profit
1420272,142027201,COMMERCE,"ABS Aviation Consultancy, Inc dba Airport Business Solutions",General Consultant Services,RENEWAL ONE,7/1/2014,6/30/2015,0,0,"10,911.89","ABS Aviation Consultancy, Inc dba Airport Business Solutions",1,ADVERTISED,For Profit
1320161,132016102,COMMERCE,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,RENEWAL TWO - TIME ONLY,7/1/2014,6/30/2015,0,0,0,"AECOM Technical Services, Inc.",1,ADVERTISED,For Profit
1420316,142031602,COMMERCE,"AECOM Technical Services, Inc.",Architect and Engineer Svcs,RENEWAL ONE,10/1/2014,9/30/2015,92,0,"35,719.32","AECOM Technical Services, Inc.",1,ADVERTISED,For Profit
1320207,132020702,COMMERCE,American Association of Airport Executives,General Consultant Services,RENEWAL TWO,7/1/2014,6/30/2015,0,0,"200,000.00",American Association of Airport Executives,1,ADVERTISED,For Profit
1220407,122040703,COMMERCE,Buell Kratzer Powell,Architect and Engineer Svcs,RENEWAL THREE-TIME ONLY,1/1/2015,12/31/2015,184,0,"55,021.39",Buell Kratzer Powell,1,ADVERTISED,For Profit
1420314,142031401,COMMERCE,"Burns Engineering, Inc.",Architect and Engineer Svcs,RENEWAL ONE-TIME ONLY,10/1/2014,9/30/2015,92,0,0,"Burns Engineering, Inc.",1,ADVERTISED,For Profit
