original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short_desc,start_dt,end_dt,days_remaining, amt , tot_payments ,orig_vendor,exempt_status,adv_or_exempt,profit_status
1520399,1520399,CITY CONTROLLERS OFFICE,CCH Inc,Computer and Information Svcs,Paperless Workflow System,3/31/2015,3/30/2016,90,"  223,795.00 ","  223,795.00 ",CCH Inc,01,ADVERTISED,For Profit
MPXX16000197,MPXX16000197,CITY CONTROLLERS OFFICE,"Ceisler Media & Issue Advocacy, LLC",Miscellaneous Order,Media Consultant,9/8/2015,6/30/2016,182,"  30,000.00 ","  2,500.00 ","Ceisler Media & Issue Advocacy, LLC",102,EXEMPT,For Profit
MPXX16000191,MPXX16000191,CITY CONTROLLERS OFFICE,James J. McNichol,Miscellaneous Order,Quality Control Audit Rvw,9/1/2015,6/30/2016,182,"  31,875.00 ",  -   ,James J. McNichol,102,EXEMPT,For Profit
MPXX16000145,MPXX16000145,CITY COUNCIL,Aaron Finestone,Miscellaneous Order,legal representation,7/1/2015,6/30/2016,182,"  12,500.00 ","  3,043.00 ",Aaron Finestone,102,EXEMPT,For Profit
1320528,132052805,CITY COUNCIL,"EConsult Solutions, Inc",General Consultant Services,AVI consulting svs,1/1/2015,12/31/2015,0,"  20,000.00 ","  8,490.88 ",ECONSULT CORPORATION,01,ADVERTISED,For Profit
MPXX16000207,MPXX16000207,CITY COUNCIL,Eric Auerbach,Miscellaneous Order,legislative drafting svs,9/18/2015,6/30/2016,182,"  32,000.00 ",  -   ,Eric Auerbach,102,EXEMPT,For Profit
1320781,132078102,CITY COUNCIL,"Granicus, Inc.",Computer and Information Svcs,legislative tracking,6/30/2015,6/29/2016,181,"  40,000.00 ","  26,821.32 ","Granicus, Inc.",01,ADVERTISED,For Profit
1320689,132068902,CITY COUNCIL,Kimmel Group Inc.,General Consultant Services,desktop and email support,4/1/2015,3/31/2016,91,"  175,000.00 ","  60,767.50 ",Kimmel Group Inc.,01,ADVERTISED,For Profit
MPXX16000129,MPXX16000129,CITY COUNCIL,Triad Strategies LLC,Miscellaneous Order,state lobbying services,7/1/2015,6/30/2016,182,"  15,000.00 ","  12,500.00 ",Triad Strategies LLC,102,EXEMPT,For Profit
MPXX16000118,MPXX16000118,CITY COUNCIL,Vincent W. Furlong,Miscellaneous Order,legal representation,7/1/2015,6/30/2016,182,"  12,500.00 ",  -   ,Vincent W. Furlong,102,EXEMPT,For Profit
1220535,122053503,CITY COUNCIL,"WURD Radio, LLC fka LEVAS Communications, LLC",General Consultant Services,broadcast of council mtgs,1/1/2015,12/31/2015,0,"  60,000.00 ","  60,000.00 ","WURD Radio, LLC fka LEVAS Communications, LLC",01,ADVERTISED,For Profit
1620151,1620151,CITY PLANNING,Fund For Philadelphia Inc,General Consultant Services,Choice Neighborhood Outre,8/24/2015,8/23/2016,236,"  75,000.00 ","  75,000.00 ",Fund For Philadelphia Inc,08,EXEMPT,Non Profit
1320648,132064802,CITY TREASURER,ANDRE C DASENT P C,Legal Services,Bond Counsel -PGW & Water,1/1/2015,12/31/2015,0,  -   ,  -   ,ANDRE C DASENT P C,01,ADVERTISED,For Profit
1520338,152033801,CITY TREASURER,ANDRE C DASENT P C,Legal Services,Bond Counsel - Airport,8/1/2015,7/31/2016,213,"  20,000.00 ",  -   ,ANDRE C DASENT P C,01,ADVERTISED,For Profit
1320338,132033803,CITY TREASURER,"Acacia Financial Group, Inc.",General Consultant Services,Financial Advisor GO-OTB,8/1/2015,7/31/2016,213,  -   ,  -   ,"Acacia Financial Group, Inc.",01,ADVERTISED,For Profit
1320649,132064902,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,Bond Counsel - Water,1/1/2015,12/31/2015,0,  -   ,  -   ,Law Offices of Denise Joy Smyler,01,ADVERTISED,For Profit
1520434,1520434,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,Bond & Disclosure Counsel,12/15/2014,12/14/2015,0,  -   ,  -   ,Ahmad Zaffarese LLC,01,ADVERTISED,For Profit
1520434,152043401,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,Bond & Disclosure Counsel,12/15/2015,12/14/2016,349,  -   ,  -   ,Ahmad Zaffarese LLC,01,ADVERTISED,For Profit
1520439,1520439,CITY TREASURER,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",Legal Services,GF Disclosure Counsel,12/15/2014,12/14/2015,0,  -   ,  -   ,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",01,ADVERTISED,For Profit
1520439,152043901,CITY TREASURER,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",Legal Services,GF Disclosure Counsel,12/15/2015,12/14/2016,349,  -   ,  -   ,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",01,ADVERTISED,For Profit
1320647,132064702,CITY TREASURER,Ballard Spahr LLP,Legal Services,Bond Counsel-PGW & Water,1/1/2015,12/31/2015,0,"  30,000.00 ","  30,000.00 ",Ballard Spahr LLP,01,ADVERTISED,For Profit
1520435,1520435,CITY TREASURER,Ballard Spahr LLP,Legal Services,Bond & Disclosure Counsel,12/15/2014,12/14/2015,0,  -   ,  -   ,Ballard Spahr LLP,01,ADVERTISED,For Profit
1520435,152043501,CITY TREASURER,Ballard Spahr LLP,Legal Services,Bond/disclosure Counsel,12/15/2015,12/14/2016,349,  -   ,  -   ,Ballard Spahr LLP,01,ADVERTISED,For Profit
1420440,142044001,CITY TREASURER,Citibank N.A.,General Consultant Services,Commercial Banking SVSS,6/1/2015,5/31/2016,152,  -   ,  -   ,Citibank N.A.,01,ADVERTISED,For Profit
1520438,1520438,CITY TREASURER,Cozen O'Connor,Legal Services,Bond & Disclosure Counsel,12/15/2014,12/14/2015,0,  -   ,  -   ,Cozen O'Connor,01,ADVERTISED,For Profit
1520438,152043801,CITY TREASURER,Cozen O'Connor,Legal Services,BC & DC GF,12/15/2015,12/14/2016,349,"  140,000.00 ","  72,658.89 ",Cozen O'Connor,01,ADVERTISED,For Profit
1520492,1520492,CITY TREASURER,Digital Assurance Certification,General Consultant Services,Dissemination Agent,1/1/2015,12/31/2015,0,"  8,000.00 ",  -   ,Digital Assurance Certification,01,ADVERTISED,For Profit
1520341,152034101,CITY TREASURER,Dilworth Paxson LLP,Legal Services,Bond Counsel - Airport,8/1/2015,7/31/2016,213,"  15,000.00 ",  -   ,Dilworth Paxson LLP,01,ADVERTISED,For Profit
1520453,1520453,CITY TREASURER,"EConsult Solutions, Inc",General Consultant Services,Authorized Depositories,12/15/2014,12/14/2015,0,"  45,100.00 ","  45,000.00 ","EConsult Solutions, Inc",01,ADVERTISED,For Profit
1520453,152045301,CITY TREASURER,"EConsult Solutions, Inc",General Consultant Services,Authorized Depositories,12/15/2015,12/14/2016,349,"  46,340.00 ",  -   ,"EConsult Solutions, Inc",01,ADVERTISED,For Profit
1320646,132064602,CITY TREASURER,"Eckert Seamans Cherin & Mellott, LLC",Legal Services,Bond Counsel - PGW,1/1/2015,12/31/2015,0,  -   ,  -   ,Blank Rome LLP,01,ADVERTISED,For Profit
1520437,1520437,CITY TREASURER,"Eckert Seamans Cherin & Mellott, LLC",Legal Services,Bond & Disclosure Counsel,12/15/2014,12/14/2015,0,  -   ,  -   ,"Eckert Seamans Cherin & Mellott, LLC",01,ADVERTISED,For Profit
1520437,152043701,CITY TREASURER,"Eckert Seamans Cherin & Mellott, LLC",Legal Services,Bond&Disclosure counsel,12/15/2015,12/14/2016,349,  -   ,  -   ,"Eckert Seamans Cherin & Mellott, LLC",01,ADVERTISED,For Profit
1520249,152024901,CITY TREASURER,"Frasca & Associates, LLC",General Consultant Services,Airport - FA,8/1/2015,7/31/2016,213,"  50,000.00 ",  -   ,"Frasca & Associates, LLC",01,ADVERTISED,For Profit
1320645,132064502,CITY TREASURER,"Greenberg Traurig, LLP",Legal Services,Water DC & BC,1/1/2015,12/31/2015,0,"  100,000.00 ","  54,950.00 ","Greenberg Traurig, LLP",01,ADVERTISED,For Profit
1520450,1520450,CITY TREASURER,Hawkins Delafield & Wood LLP,Legal Services,GF Disclosure Counsel,12/15/2014,12/14/2015,0,  -   ,  -   ,Hawkins Delafield & Wood LLP,01,ADVERTISED,For Profit
1520450,152045001,CITY TREASURER,Hawkins Delafield & Wood LLP,Legal Services,GF Disclosure counsel,12/15/2015,12/14/2016,349,  -   ,  -   ,Hawkins Delafield & Wood LLP,01,ADVERTISED,For Profit
1520347,152034701,CITY TREASURER,Katten Muchin Rosenman LLP,Legal Services,Bond Counsel - Airport,8/1/2015,7/31/2016,213,"  100,000.00 ",  -   ,Katten Muchin Rosenman LLP,01,ADVERTISED,For Profit
1520343,152034301,CITY TREASURER,Kutak Rock LLP,Legal Services,Bond Counsel - Airport,8/1/2015,7/31/2016,213,"  75,000.00 ",  -   ,Kutak Rock LLP,01,ADVERTISED,For Profit
1320654,132065402,CITY TREASURER,Nixon Peabody LLP,Legal Services,Bond Counsel - PGW,1/1/2015,12/31/2015,0,  -   ,  -   ,Nixon Peabody LLP,01,ADVERTISED,For Profit
1520342,152034201,CITY TREASURER,Nixon Peabody LLP,Legal Services,Bond Counsel - Airport,8/1/2015,7/31/2016,213,"  20,000.00 ",  -   ,Nixon Peabody LLP,01,ADVERTISED,For Profit
1320366,132036603,CITY TREASURER,"PFM Asset Management, LLC",General Consultant Services,Arbitrage Calc Provider,7/1/2015,6/30/2016,182,"  77,000.00 ","  57,500.00 ","PFM Asset Management, LLC",01,ADVERTISED,For Profit
1420485,142048501,CITY TREASURER,"Phoenix Capital Partners, LLP",General Consultant Services,Financial Advisor-PGW,1/1/2015,12/31/2015,0,  -   ,  -   ,"Phoenix Capital Partners, LLP",01,ADVERTISED,For Profit
