original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short_desc,start_dt,end_dt,days_remaining,amt,tot_payments,orig_vendor,exempt_status,adv_or_exempt,profit_status,
MPXX16000337,MPXX16000337,CITY CONTROLLERS OFFICE,Becker Professional Development Corporation,Miscellaneous Order,CPA Exam Review Program,2/26/2016,6/30/2016,0,10000,2793,Becker Professional Development Corporation,102,EXEMPT,For Profit,
1520399,152039901,CITY CONTROLLERS OFFICE,CCH Inc,Computer and Information Svcs,Additional User,3/31/2016,3/30/2017,272,75572.05,0,CCH Inc,1,ADVERTISED,For Profit,
MPXX16000197,MPXX16000197,CITY CONTROLLERS OFFICE,"Ceisler Media & Issue Advocacy, LLC",Miscellaneous Order,Media Consultant,9/8/2015,6/30/2016,0,30000,27500,"Ceisler Media & Issue Advocacy, LLC",102,EXEMPT,For Profit,
1620251,1620251,CITY CONTROLLERS OFFICE,CliftonLarsonAllen LLP,Accounting and Auditing Svcs,Technical Consultant,11/16/2015,11/15/2016,137,28500,7230,CliftonLarsonAllen LLP,1,ADVERTISED,For Profit,
MPXX16000191,MPXX16000191,CITY CONTROLLERS OFFICE,James J. McNichol,Miscellaneous Order,Quality Control Audit Rvw,9/1/2015,6/30/2016,0,31875,3037.5,James J. McNichol,102,EXEMPT,For Profit,
1320411,132041103,CITY CONTROLLERS OFFICE,LHV Financial Advisors,General Consultant Services,Review of COP's Processes,7/1/2015,6/30/2016,0,50000,19375,LHV Financial Advisors,1,ADVERTISED,For Profit,
1620468,1620468,CITY CONTROLLERS OFFICE,"Mitchell & Titus, LLP",Accounting and Auditing Svcs,Peer Review Audit,6/6/2016,6/5/2017,339,50000,0,"Mitchell & Titus, LLP",1,ADVERTISED,For Profit,
MPXX16000243,MPXX16000243,CITY CONTROLLERS OFFICE,Thomson Reuters Tax & Accounting Inc.,Miscellaneous Order,Slf Stdy Courses/cpe trng,10/15/2015,6/30/2016,0,14550,14550,Thomson Reuters Tax & Accounting Inc.,102,EXEMPT,For Profit,
MPXX16000145,MPXX16000145,CITY COUNCIL,Aaron Finestone,Miscellaneous Order,legal representation,7/1/2015,6/30/2016,0,17000,14297.14,Aaron Finestone,102,EXEMPT,For Profit,
MPXX16000378,MPXX16000378,CITY COUNCIL,"Cardenas Grant Communications, LLC",Miscellaneous Order,strategic marketing,5/10/2016,6/30/2016,0,15000,0,"Cardenas Grant Communications, LLC",102,EXEMPT,For Profit,
