original_contract_id,current_item_id,department_name,vendor,contract_structure_type,short_desc,start_dt,end_dt,days_remaining,amt,tot_payments,orig_vendor,exempt_status,adv_or_exempt,profit_status
MPXX17000232,MPXX17000232,CITY CONTROLLERS OFFICE,BDO USA LLP,Miscellaneous Order,Eval Revenue Gen Control,10/12/2016,6/30/2017,180,"18,750.00",0.00,BDO USA LLP,102,EXEMPT,For Profit
MPXX17000233,MPXX17000233,CITY CONTROLLERS OFFICE,BDO USA LLP,Miscellaneous Order,OIT Gen Control Rev,10/12/2016,6/30/2017,180,"27,750.00",0.00,BDO USA LLP,102,EXEMPT,For Profit
1520399,152039901,CITY CONTROLLERS OFFICE,CCH Inc,Computer and Information Svcs,Additional User,3/31/2016,3/30/2017,88,"75,572.05","72,419.58",CCH Inc,01,ADVERTISED,For Profit
MPXX17000133,MPXX17000133,CITY CONTROLLERS OFFICE,Carole Buncher & Associates,Miscellaneous Order,Two day Audit Training,8/8/2016,6/30/2017,180,"7,500.00","7,500.00",Carole Buncher & Associates,102,EXEMPT,For Profit
1620251,1620251,CITY CONTROLLERS OFFICE,CliftonLarsonAllen LLP,Accounting and Auditing Svcs,Technical Consultant,11/16/2015,11/15/2016,0,"28,500.00","10,815.00",CliftonLarsonAllen LLP,01,ADVERTISED,For Profit
MPXX17000296,MPXX17000296,CITY CONTROLLERS OFFICE,CliftonLarsonAllen LLP,Miscellaneous Order,Tech Consulting Srvs,12/15/2016,6/30/2017,180,"22,050.00",0.00,CliftonLarsonAllen LLP,102,EXEMPT,For Profit
MPXX17000161,MPXX17000161,CITY CONTROLLERS OFFICE,James J. McNichol,Miscellaneous Order,Audit Control Reviews,8/25/2016,6/30/2017,180,"31,875.00","10,612.50",James J. McNichol,102,EXEMPT,For Profit
1620468,1620468,CITY CONTROLLERS OFFICE,"Mitchell & Titus, LLP",Accounting and Auditing Svcs,Peer Review Audit,6/6/2016,6/5/2017,155,"50,000.00","50,000.00","Mitchell & Titus, LLP",01,ADVERTISED,For Profit
MPXX17000231,MPXX17000231,CITY CONTROLLERS OFFICE,WithumSmith+Brown,Miscellaneous Order,Eval SD Advan system,10/12/2016,6/30/2017,180,"30,500.00",0.00,WithumSmith+Brown,102,EXEMPT,For Profit
MPXX17000179,MPXX17000179,CITY COUNCIL,Aaron Finestone,Miscellaneous Order,addressing zoning matters,8/23/2016,6/30/2017,180,"25,000.00","10,517.90",Aaron Finestone,102,EXEMPT,For Profit
MPXX17000258,MPXX17000258,CITY COUNCIL,"Chamberlain, Hrdllicka,  White, Williams & Aughtry",Miscellaneous Order,Analysis of HB1871,10/17/2016,6/30/2017,180,"32,000.00","23,825.00","Chamberlain, Hrdllicka,  White, Williams & Aughtry",102,EXEMPT,For Profit
MPXX17000102,MPXX17000102,CITY COUNCIL,Eric Auerbach,Miscellaneous Order,legislative drafting,7/1/2016,6/30/2017,180,"32,000.00","1,140.00",Eric Auerbach,102,EXEMPT,For Profit
1320781,132078103,CITY COUNCIL,"Granicus, Inc.",Computer and Information Svcs,Legislative software,6/30/2016,6/29/2017,179,"40,000.00","26,821.32","Granicus, Inc.",01,ADVERTISED,For Profit
MPXX17000199,MPXX17000199,CITY COUNCIL,Keel Communications & Government Relations LLC,Miscellaneous Order,communication services,7/1/2016,6/30/2017,180,"30,000.00","12,500.00",Keel Communications & Government Relations LLC,102,EXEMPT,For Profit
1320689,132068904,CITY COUNCIL,Kimmel Group Inc.,General Consultant Services,desktop support,4/1/2016,3/31/2017,89,"175,000.00","76,550.00",Kimmel Group Inc.,01,ADVERTISED,For Profit
MPXX17000219,MPXX17000219,CITY COUNCIL,Triad Strategies LLC,Miscellaneous Order,state lobbying services,7/1/2016,6/30/2017,180,"30,000.00","15,000.00",Triad Strategies LLC,102,EXEMPT,For Profit
1220535,122053504,CITY COUNCIL,"WURD Radio, LLC fka LEVAS Communications, LLC",General Consultant Services,broadcast of council mtgs,1/1/2016,12/31/2016,0,"60,000.00","30,000.00","WURD Radio, LLC fka LEVAS Communications, LLC",01,ADVERTISED,For Profit
1620159,1620159,CITY PLANNING,"Whitman, Requardt and Associates, LLP",Architect and Engineer Svcs,Mantua Grnwy Fin Design,10/5/2015,10/4/2016,0,"395,492.55","199,378.20","Whitman, Requardt and Associates, LLP",01,ADVERTISED,For Profit
1320648,132064803,CITY TREASURER,ANDRE C DASENT P C,Legal Services,Bond Counsel PGW & Water,1/1/2016,12/31/2016,0,0.00,0.00,ANDRE C DASENT P C,01,ADVERTISED,For Profit
1520338,152033802,CITY TREASURER,ANDRE C DASENT P C,Legal Services,Counsel - Airport,8/1/2016,7/31/2017,211,"20,000.00",0.00,ANDRE C DASENT P C,01,ADVERTISED,For Profit
1620362,1620362,CITY TREASURER,"Acacia Financial Group, Inc.",General Consultant Services,Water Financial Advisor,1/1/2016,12/31/2016,0,"50,000.00",0.00,"Acacia Financial Group, Inc.",01,ADVERTISED,For Profit
1720201,1720201,CITY TREASURER,"Acacia Financial Group, Inc.",General Consultant Services,Municipal Advisor GO-OTB,8/1/2016,7/31/2017,211,0.00,0.00,"Acacia Financial Group, Inc.",01,ADVERTISED,For Profit
1320649,132064903,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,BC Water,1/1/2016,12/31/2016,0,0.00,0.00,Law Offices of Denise Joy Smyler,01,ADVERTISED,For Profit
1520434,152043401,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,Bond & Disclosure Counsel,12/15/2015,12/14/2016,0,0.00,0.00,Ahmad Zaffarese LLC,01,ADVERTISED,For Profit
1620441,1620441,CITY TREASURER,Ahmad Zaffarese LLC,Legal Services,Legal Services - TRAN,6/1/2016,5/31/2017,150,0.00,0.00,Ahmad Zaffarese LLC,01,ADVERTISED,For Profit
1520439,152043901,CITY TREASURER,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",Legal Services,GF Disclosure Counsel,12/15/2015,12/14/2016,0,0.00,0.00,"Ann C. Lebowitz, Esq. d/b/a Law Office of Ann C. Lebowitz",01,ADVERTISED,For Profit
1320647,132064703,CITY TREASURER,Ballard Spahr LLP,Legal Services,Bond Counsel PGW & Water,1/1/2016,12/31/2016,0,"100,000.00","111,690.80",Ballard Spahr LLP,01,ADVERTISED,For Profit
1520435,152043501,CITY TREASURER,Ballard Spahr LLP,Legal Services,Bond/disclosure Counsel,12/15/2015,12/14/2016,0,0.00,0.00,Ballard Spahr LLP,01,ADVERTISED,For Profit
1520301,152030101,CITY TREASURER,CHANDLER ASSET MANAGEMENT,Investment Advisor-Manager,Investment Advisor,6/29/2016,6/28/2017,178,0.00,0.00,CHANDLER ASSET MANAGEMENT,01,ADVERTISED,unknown
1420440,142044002,CITY TREASURER,Citibank N.A.,General Consultant Services,Commercial Banking Svcs,6/1/2016,5/31/2017,150,0.00,0.00,Citibank N.A.,01,ADVERTISED,For Profit
1520438,152043801,CITY TREASURER,Cozen O'Connor,Legal Services,BC & DC GF,12/15/2015,12/14/2016,0,"140,000.00","72,658.89",Cozen O'Connor,01,ADVERTISED,For Profit
1520492,152049201,CITY TREASURER,Digital Assurance Certification,General Consultant Services,Dissemination Agent,1/1/2016,12/31/2016,0,"8,000.00",0.00,Digital Assurance Certification,01,ADVERTISED,For Profit
1520341,152034102,CITY TREASURER,Dilworth Paxson LLP,Legal Services,Consel - Airport,8/1/2016,7/31/2017,211,"15,000.00",0.00,Dilworth Paxson LLP,01,ADVERTISED,For Profit
