original_contract_id,current_item_id,department_name,vendor,contract_structure_type,desc,start_dt,end_dt,days_remaining, amt , tot_payments ,orig_vendor,exempt_status,adv_or_exempt,profit_status
MPXX19000133,MPXX19000133,CITY CONTROLLERS OFFICE,Becker Professional Development Corporation,Miscellaneous Order,Provide CPA Exam Review,7/31/2018,6/30/2019,90,"  20,000.00 ","  2,793.00 ",Becker Professional Development Corporation,102,EXEMPT,For Profit
MPXX19000321,MPXX19000321,CITY CONTROLLERS OFFICE,Becker Professional Development Corporation,Miscellaneous Order,Provide CPE courses,3/13/2019,6/30/2019,90,"  9,625.00 ",  -   ,Becker Professional Development Corporation,102,EXEMPT,For Profit
1520399,152039903,CITY CONTROLLERS OFFICE,CCH Inc,Computer and Information Svcs,Engagement Maint/Knowledg,3/31/2018,3/30/2019,0,"  50,940.79 ","  44,674.00 ",CCH Inc,01,ADVERTISED,For Profit
MPXX19000091,MPXX19000091,CITY CONTROLLERS OFFICE,CliftonLarsonAllen LLP,Miscellaneous Order,Technical Consulting Serv,7/13/2018,6/30/2019,90,"  29,700.00 ","  18,298.50 ",CliftonLarsonAllen LLP,102,EXEMPT,For Profit
MPXX19000060,MPXX19000060,CITY CONTROLLERS OFFICE,James J. McNichol,Miscellaneous Order,Perform reviews of audits,7/2/2018,6/30/2019,90,"  32,000.00 ","  17,750.00 ",James J. McNichol,102,EXEMPT,For Profit
1920397,1920397,CITY CONTROLLERS OFFICE,"Mitchell & Titus, LLP",Accounting and Auditing Svcs,Peer Review Audit,11/15/2018,11/14/2019,227,"  50,000.00 ",  -   ,"Mitchell & Titus, LLP",01,ADVERTISED,For Profit
MPXX19000059,MPXX19000059,CITY CONTROLLERS OFFICE,"Surgent McCoy, CPE",Miscellaneous Order,Two-day training seminar.,7/2/2018,6/30/2019,90,"  14,286.00 ","  9,985.07 ","Surgent McCoy, CPE",102,EXEMPT,Non Profit
MPXX19000292,MPXX19000292,CITY CONTROLLERS OFFICE,"Surgent McCoy, CPE",Miscellaneous Order,One-day training seminar,1/17/2019,6/30/2019,90,"  10,000.00 ",  -   ,"Surgent McCoy, CPE",102,EXEMPT,Non Profit
MPXX19000187,MPXX19000187,CITY CONTROLLERS OFFICE,YIKES INC,Miscellaneous Order,Website Design & Support,7/1/2018,6/30/2019,90,"  18,788.00 ","  18,788.00 ",YIKES INC,102,EXEMPT,For Profit
MPXX19000134,MPXX19000134,CITY COUNCIL,"ABF MudRun, LLC",Miscellaneous Order,Coordinate Philly Play,7/27/2018,6/30/2019,90,"  17,950.00 ","  17,950.00 ","ABF MudRun, LLC",102,EXEMPT,For Profit
MPXX19000299,MPXX19000299,CITY COUNCIL,"Ceisler Media & Issue Advocacy, LLC",Miscellaneous Order,media relations,2/1/2019,6/30/2019,90,"  12,500.00 ","  5,000.00 ","Ceisler Media & Issue Advocacy, LLC",102,EXEMPT,For Profit
MPXX19000108,MPXX19000108,CITY COUNCIL,"Deaf Hearing Communication Centre, Inc",Miscellaneous Order,interpretation services,7/1/2018,6/30/2019,90,"  32,000.00 ","  10,961.15 ","Deaf Hearing Communication Centre, Inc",102,EXEMPT,Non Profit
